,time,spline,prediction probe,prediction case,prediction cases across domain,target
0,0.010835057,4761.8823,11255.131,1029.2897,4911.5894,4761.8823
1,0.010836639,4251.682,4251.682,4251.682,4251.682,6452.7256
2,0.010838216,5710.357,5710.357,5710.357,5710.357,5760.148
3,0.010839804,7857.0693,7208.6704,896.939,1817.2186,7857.0693
4,0.010841384,9527.11,9527.11,9527.11,9527.11,7774.914
5,0.010842958,10234.1045,10234.1045,10234.1045,10234.1045,7514.179
6,0.01084454,9646.702,8046.0205,4391.7866,3685.4426,9646.702
7,0.010846136,7625.298,7625.298,7625.298,7625.298,6936.859
8,0.010847734,4979.6245,4979.6245,4979.6245,4979.6245,1505.2965
9,0.010849314,2780.2573,4531.8726,-3206.9355,4156.4697,2780.2573
10,0.010850886,1715.0813,1715.0813,1715.0813,1715.0813,5256.5464
11,0.010852458,1283.5903,1283.5903,1283.5903,1283.5903,2804.9683
12,0.01085405,689.109,1027.9795,861.9516,2818.108,689.109
13,0.010855652,-553.2321,-553.2321,-553.2321,-553.2321,-2184.469
14,0.010857305,-1602.547,-1602.547,-1602.547,-1602.547,675.3199
15,0.010858976,-1101.3363,-1200.1735,-3673.4038,-3464.1694,-1101.3363
16,0.010860641,1711.8792,1711.8792,1711.8792,1711.8792,-3748.3909
17,0.010862289,5206.3125,5206.3125,5206.3125,5206.3125,-1535.3207
18,0.01086394,7283.5537,4013.8032,4039.0874,2993.207,7283.5537
19,0.0108656,6484.6187,6484.6187,6484.6187,6484.6187,8731.749
20,0.010867229,4164.896,4164.896,4164.896,4164.896,6913.9917
21,0.010868818,2276.1948,4311.888,5276.528,4266.737,2276.1948
22,0.010870328,1970.1398,1970.1398,1970.1398,1970.1398,1526.0778
23,0.010871845,2226.0034,2226.0034,2226.0034,2226.0034,1008.5855
24,0.010873372,1630.6792,1542.7433,5708.5,-336.2566,1630.6792
25,0.01087492,-769.23755,-769.23755,-769.23755,-769.23755,-2327.3752
26,0.01087646,-3724.6711,-3724.6711,-3724.6711,-3724.6711,-2799.9377
27,0.010877967,-5474.961,-3661.3398,-3022.6128,-3020.6646,-5474.961
28,0.010879477,-4918.161,-4918.161,-4918.161,-4918.161,-4602.836
29,0.010881015,-2775.1172,-2775.1172,-2775.1172,-2775.1172,-773.0707
30,0.010882591,-309.85193,-2905.8892,-7606.3257,-2940.8596,-309.85193
31,0.010884167,1302.583,1302.583,1302.583,1302.583,-2304.4534
32,0.01088572,2085.969,2085.969,2085.969,2085.969,-1127.016
33,0.010887236,2376.562,2107.9065,316.2608,1123.5189,2376.562
34,0.010888791,2467.1306,2467.1306,2467.1306,2467.1306,-1767.1019
35,0.010890395,2536.7346,2536.7346,2536.7346,2536.7346,1827.2417
36,0.010892044,2770.023,1888.7441,4002.8066,1090.4053,2770.023
37,0.010893672,3345.7883,3345.7883,3345.7883,3345.7883,3723.382
38,0.010895283,4417.9146,4417.9146,4417.9146,4417.9146,10621.625
39,0.01089688,6129.7026,3192.5742,1433.2797,2346.787,6129.7026
40,0.010898478,8459.077,8459.077,8459.077,8459.077,6393.9917
41,0.010900079,10640.02,10640.02,10640.02,10640.02,12522.569
42,0.010901663,11708.054,8635.961,7565.351,7065.6987,11708.054
43,0.010903199,11140.563,11140.563,11140.563,11140.563,9251.344
44,0.010904731,9711.335,9711.335,9711.335,9711.335,8008.624
45,0.010906303,8420.554,9091.797,7100.7036,6692.885,8420.554
46,0.010907903,8059.901,8059.901,8059.901,8059.901,6641.1245
47,0.010909542,8015.478,8015.478,8015.478,8015.478,8438.405
48,0.01091121,7210.64,8568.22,4329.3003,5889.495,7210.64
49,0.01091293,4787.9155,4787.9155,4787.9155,4787.9155,3234.5308
50,0.01091466,1483.7906,1483.7906,1483.7906,1483.7906,3369.4917
51,0.010916386,-1520.4143,1168.2749,-681.6365,2081.0774,-1520.4143
52,0.010918066,-3276.5366,-3276.5366,-3276.5366,-3276.5366,5147.1636
