,time,spline,prediction probe,prediction one case,prediction all case,target
0,0.010801543,5019.432,5019.432,5019.432,5019.432,5019.432
1,0.010803071,8682.035,8682.035,8682.035,8682.035,6133.0884
2,0.010804622,10042.823,10042.823,10042.823,10042.823,10777.175
3,0.010806205,9687.081,9687.081,9687.081,9687.081,9687.081
4,0.010807788,8288.432,8288.432,8288.432,8288.432,6920.565
5,0.010809348,6595.069,6595.069,6595.069,6595.069,4833.5493
6,0.010810928,5274.3857,10558.608,299.63165,837.34076,5274.3857
7,0.010812555,4851.252,4851.252,4851.252,4851.252,5258.5103
8,0.010814171,4984.7505,4984.7505,4984.7505,4984.7505,5774.2837
9,0.010815799,5056.7134,10331.058,348.29117,-1253.0977,5056.7134
10,0.010817446,4624.887,4624.887,4624.887,4624.887,9760.636
11,0.010819086,4020.6958,4020.6958,4020.6958,4020.6958,10198.933
12,0.010820721,3763.7449,7631.935,357.0095,-2037.5146,3763.7449
13,0.010822308,4144.9316,4144.9316,4144.9316,4144.9316,2479.1821
14,0.010823854,4669.348,4669.348,4669.348,4669.348,1650.7681
15,0.010825427,4724.5884,7424.1274,473.77222,-2117.402,4724.5884
16,0.010827013,3727.562,3727.562,3727.562,3727.562,153.1665
17,0.010828612,1405.7659,1405.7659,1405.7659,1405.7659,-3483.779
18,0.010830193,-2351.8882,6535.0117,437.93634,-1370.6146,-2351.8882
19,0.010831756,-7332.818,-7332.818,-7332.818,-7332.818,-512.9116
20,0.010833321,-12127.891,-12127.891,-12127.891,-12127.891,-9854.724
21,0.010834871,-14942.968,2692.315,374.9231,-312.95056,-14942.968
22,0.010836432,-14662.119,-14662.119,-14662.119,-14662.119,-10453.014
23,0.010838026,-12353.397,-12353.397,-12353.397,-12353.397,-9303.115
24,0.010839623,-9833.951,-2196.0222,261.9513,-568.4901,-9833.951
25,0.010841215,-8559.145,-8559.145,-8559.145,-8559.145,-10908.029
26,0.010842789,-8335.328,-8335.328,-8335.328,-8335.328,-11933.123
27,0.010844377,-8573.115,-5589.718,41.84748,-1337.8849,-8573.115
28,0.010845934,-8713.467,-8713.467,-8713.467,-8713.467,-4539.6616
29,0.010847435,-8324.27,-8324.27,-8324.27,-8324.27,-7351.31
30,0.010848967,-6975.4897,-4244.0903,-10.447258,-1604.7695,-6975.4897
31,0.010850516,-4411.2607,-4411.2607,-4411.2607,-4411.2607,1988.1901
32,0.010852072,-1226.5244,-1226.5244,-1226.5244,-1226.5244,5462.2134
33,0.010853642,1773.3774,117.01839,26.921427,-1626.3453,1773.3774
34,0.010855207,3906.6453,3906.6453,3906.6453,3906.6453,853.9009
35,0.010856762,5297.2036,5297.2036,5297.2036,5297.2036,6375.8853
36,0.010858313,6265.3306,4490.476,503.80164,-1841.2021,6265.3306
37,0.010859886,6953.6733,6953.6733,6953.6733,6953.6733,2604.9478
38,0.010861503,6747.976,6747.976,6747.976,6747.976,4078.9556
39,0.010863129,4790.401,7987.6035,486.99835,-319.51355,4790.401
40,0.010864747,794.46014,794.46014,794.46014,794.46014,3185.0493
41,0.010866294,-3321.7346,-3321.7346,-3321.7346,-3321.7346,-6199.1772
42,0.010867801,-5683.9116,6513.222,531.4739,-192.81544,-5683.9116
43,0.010869328,-5123.761,-5123.761,-5123.761,-5123.761,-2442.6304
44,0.010870874,-2673.912,-2673.912,-2673.912,-2673.912,1257.6588
45,0.010872479,-29.911621,4554.2266,536.6425,534.55475,-29.911621
46,0.010874118,1119.4846,1119.4846,1119.4846,1119.4846,-5020.693
47,0.010875775,535.6642,535.6642,535.6642,535.6642,-4969.349
48,0.01087743,-1562.6539,2365.2083,434.16797,1392.9711,-1562.6539
49,0.010879076,-4697.409,-4697.409,-4697.409,-4697.409,1001.6744
50,0.010880729,-7557.5054,-7557.5054,-7557.5054,-7557.5054,-3833.31
51,0.010882364,-8569.209,1833.7502,262.61835,-55.431908,-8569.209
52,0.010884017,-6700.579,-6700.579,-6700.579,-6700.579,-7659.279
53,0.010885681,-2822.9958,-2822.9958,-2822.9958,-2822.9958,-3366.5366
54,0.010887307,1512.9321,-36.601322,196.71638,3.8586476,1512.9321
55,0.010888873,5011.7373,5011.7373,5011.7373,5011.7373,1336.8462
56,0.010890412,7034.3105,7034.3105,7034.3105,7034.3105,1895.565
57,0.01089198,6966.8857,5068.482,272.73962,-201.39856,6966.8857
58,0.010893599,4471.363,4471.363,4471.363,4471.363,12397.948
59,0.010895263,1488.8203,1488.8203,1488.8203,1488.8203,8998.69
60,0.010896952,906.01807,7954.8774,194.99568,336.4867,906.01807
61,0.010898627,4607.395,4607.395,4607.395,4607.395,2664.9165
62,0.010900311,10243.752,10243.752,10243.752,10243.752,9511.956
63,0.010901967,14306.862,9607.973,175.30917,174.74567,14306.862
64,0.010903581,14483.013,14483.013,14483.013,14483.013,10814.644
65,0.010905189,11810.144,11810.144,11810.144,11810.144,5974.8696
66,0.010906755,8056.5107,11741.984,369.66623,405.08643,8056.5107
67,0.010908298,4740.9756,4740.9756,4740.9756,4740.9756,12641.549
68,0.010909823,3225.8628,3225.8628,3225.8628,3225.8628,10979.331
69,0.010911313,4737.9014,12261.495,285.11453,798.80707,4737.9014
70,0.010912809,9759.869,9759.869,9759.869,9759.869,3849.151
71,0.010914373,16056.548,16056.548,16056.548,16056.548,11227.503
72,0.010915989,19816.799,12942.045,442.4124,528.3076,19816.799
73,0.010917606,17917.041,17917.041,17917.041,17917.041,10899.2295
74,0.010919257,11971.667,11971.667,11971.667,11971.667,2770.8306
75,0.010920947,4927.1665,14556.206,542.90753,734.60944,4927.1665
76,0.010922584,-195.3251,-195.3251,-195.3251,-195.3251,12072.964
77,0.01092413,-3002.7332,-3002.7332,-3002.7332,-3002.7332,6340.2446
78,0.010925609,-3836.8103,13235.288,585.10077,1356.6849,-3836.8103
79,0.010927137,-2999.776,-2999.776,-2999.776,-2999.776,-5633.099
80,0.010928744,-1395.562,-1395.562,-1395.562,-1395.562,-656.23975
81,0.010930376,-473.59912,5158.4404,426.9454,895.2048,-473.59912
82,0.010932007,-1369.1537,-1369.1537,-1369.1537,-1369.1537,-1425.5366
83,0.010933579,-3485.6738,-3485.6738,-3485.6738,-3485.6738,-7934.4277
84,0.010935124,-5968.0757,1936.4867,296.31848,-1009.6941,-5968.0757
85,0.010936734,-8138.2715,-8138.2715,-8138.2715,-8138.2715,3099.0571
86,0.010938357,-8999.618,-8999.618,-8999.618,-8999.618,668.76025
87,0.010939981,-7608.9116,470.91687,129.43715,-1630.1904,-7608.9116
88,0.01094161,-3671.3574,-3671.3574,-3671.3574,-3671.3574,-7201.388
89,0.01094318,378.10608,378.10608,378.10608,378.10608,3318.9636
90,0.010944733,1997.2526,975.6674,-196.16426,-1663.9412,1997.2526
91,0.010946315,-542.1699,-542.1699,-542.1699,-542.1699,-13548.076
92,0.01094794,-5570.3257,-5570.3257,-5570.3257,-5570.3257,-13662.044
93,0.010949585,-10096.264,2343.8875,-187.63777,-2144.5771,-10096.264
94,0.010951235,-11631.477,-11631.477,-11631.477,-11631.477,-8702.584
95,0.01095288,-10521.948,-10521.948,-10521.948,-10521.948,-8523.264
96,0.010954498,-7878.599,1198.9126,-105.43424,-2447.7217,-7878.599
97,0.01095616,-4560.9204,-4560.9204,-4560.9204,-4560.9204,-5123.3335
98,0.010957825,-1425.722,-1425.722,-1425.722,-1425.722,-475.13037
99,0.010959473,750.45557,-766.97906,503.80536,-3291.1565,750.45557
100,0.010961059,1434.8055,1434.8055,1434.8055,1434.8055,-2950.0366
101,0.010962601,843.3774,843.3774,843.3774,843.3774,-2005.4585
102,0.01096413,-759.6304,1932.4603,233.59473,-2649.3481,-759.6304
103,0.010965672,-3094.8264,-3094.8264,-3094.8264,-3094.8264,-2012.1226
104,0.010967248,-5490.6084,-5490.6084,-5490.6084,-5490.6084,-7076.951
105,0.010968872,-7064.0757,2609.1963,265.2713,-791.8923,-7064.0757
106,0.010970533,-7034.215,-7034.215,-7034.215,-7034.215,-2134.599
107,0.010972181,-5729.015,-5729.015,-5729.015,-5729.015,-2199.9116
108,0.010973826,-3782.7556,842.8467,-15.104933,-375.6339,-3782.7556
109,0.010975429,-1824.8506,-1824.8506,-1824.8506,-1824.8506,41.064945
110,0.010977025,-214.56366,-214.56366,-214.56366,-214.56366,3286.9556
111,0.010978657,708.8931,1168.3688,-2.242635,81.85923,708.8931
112,0.010980313,717.4348,717.4348,717.4348,717.4348,-2270.2085
113,0.010981953,437.7718,437.7718,437.7718,437.7718,3449.0571
114,0.010983541,678.6509,2665.3713,6.4031014,432.02542,678.6509
115,0.010985089,1879.5519,1879.5519,1879.5519,1879.5519,-3481.2007
116,0.010986615,3485.4788,3485.4788,3485.4788,3485.4788,-1877.4429
117,0.010988148,4768.9946,5513.7085,586.84875,372.27066,4768.9946
118,0.010989725,5172.2837,5172.2837,5172.2837,5172.2837,1742.5884
119,0.010991337,4917.1577,4917.1577,4917.1577,4917.1577,-2088.435
120,0.010992987,4505.315,6595.159,302.93637,-201.57433,4505.315
121,0.010994643,4402.557,4402.557,4402.557,4402.557,6409.5103
122,0.010996271,4663.0537,4663.0537,4663.0537,4663.0537,6075.1743
