,time,spline,prediction(trained case 1),prediction(all),target
0,0.01078036,-0.10426111,-0.10426111,-0.1042611,-0.05077167
1,0.010781917,-0.07709819,-0.081623405,0.02529219,-0.07709819
2,0.010783456,-0.007817247,-0.007817247,-0.0078172,-0.10725655
3,0.010785036,0.07098882,0.07098882,0.07098882,-0.057609454
4,0.010786652,0.11885399,-0.075371884,0.01533656,0.11885399
5,0.010788272,0.112131834,0.112131834,0.11213183,0.16859077
6,0.010789881,0.07067064,0.07067064,0.07067064,0.074837126
7,0.010791478,0.036082815,-0.11325674,-0.000331,0.036082815
8,0.01079308,0.04222951,0.04222951,0.04222951,0.09876729
9,0.010794685,0.08504136,0.08504136,0.08504136,0.124067396
10,0.01079628,0.145095,-0.09070352,-0.0392223,0.145095
11,0.010797876,0.2014078,0.2014078,0.2014078,0.17782551
12,0.010799487,0.2177048,0.2177048,0.2177048,0.13667454
13,0.010801109,0.15975021,-0.087999225,-0.0680201,0.15975021
14,0.010802685,0.01683434,0.01683434,0.01683434,0.257002
15,0.010804225,-0.15566956,-0.15566956,-0.1556696,0.002515988
16,0.010805767,-0.28143984,-0.048841417,-0.0654747,-0.28143984
17,0.010807336,-0.2984642,-0.2984642,-0.2984642,-0.3882705
18,0.010808821,-0.2411423,-0.2411423,-0.2411423,-0.15086524
19,0.010810286,-0.1706537,-0.10374179,-0.0942593,-0.1706537
20,0.010811797,-0.13217577,-0.13217577,-0.1321758,-0.306689
21,0.01081336,-0.1277541,-0.1277541,-0.1277541,-0.25567645
22,0.010814907,-0.1499741,-0.12198415,-0.1179957,-0.1499741
23,0.010816446,-0.18401721,-0.18401721,-0.1840172,-0.15557006
24,0.01081797,-0.21102335,-0.21102335,-0.2110234,-0.14573407
25,0.010819511,-0.21335158,-0.14043584,-0.0684372,-0.21335158
26,0.010821102,-0.17879431,-0.17879431,-0.1787943,-0.003812912
27,0.010822716,-0.12626888,-0.12626888,-0.1262689,-0.011298426
28,0.010824289,-0.08579692,-0.15403742,-0.0308885,-0.08579692
29,0.010825864,-0.080351815,-0.080351815,-0.0803518,-0.10437127
30,0.010827478,-0.08998244,-0.08998244,-0.0899824,-0.014640748
31,0.010829094,-0.08245609,-0.1465959,-0.0340596,-0.08245609
32,0.010830656,-0.036534548,-0.036534548,-0.0365345,0.001996376
33,0.010832236,0.03635125,0.03635125,0.03635125,0.020754851
34,0.010833875,0.118633814,-0.117850944,-0.0282429,0.118633814
35,0.010835506,0.19510572,0.19510572,0.19510572,0.22150868
36,0.010837142,0.2666685,0.2666685,0.2666685,0.31140307
37,0.010838755,0.33934772,-0.11326192,-0.0240572,0.33934772
38,0.010840354,0.41734576,0.41734576,0.41734576,0.3457523
39,0.01084195,0.49668637,0.49668637,0.49668637,0.42483374
40,0.010843509,0.57002664,-0.07781525,0.00287659,0.57002664
41,0.010845004,0.62979347,0.62979347,0.62979347,0.7774985
42,0.010846542,0.658515,0.658515,0.658515,0.7124355
43,0.010848145,0.63732356,-0.06363739,0.02870949,0.63732356
44,0.010849777,0.55475295,0.55475295,0.55475295,0.51559067
45,0.01085143,0.43726063,0.43726063,0.43726063,0.38338783
46,0.010853087,0.3259808,-0.07392898,0.07391274,0.3259808
47,0.010854685,0.25407258,0.25407258,0.25407258,0.50995094
48,0.010856257,0.22067104,0.22067104,0.22067104,0.36693573
49,0.010857833,0.21879055,-0.098637916,0.05425999,0.21879055
50,0.010859394,0.24036492,0.24036492,0.24036492,0.1738429
51,0.010860946,0.2684436,0.2684436,0.2684436,0.23559363
52,0.010862495,0.28284496,-0.09794836,0.05163535,0.28284496
53,0.01086402,0.26777104,0.26777104,0.26777104,0.22344472
54,0.010865518,0.22745897,0.22745897,0.22745897,0.10575524
55,0.010866975,0.17039242,-0.098037444,0.05367058,0.17039242
56,0.01086838,0.108029455,0.108029455,0.10802946,0.23796852
57,0.010869771,0.056827974,0.056827974,0.05682797,0.13800992
58,0.010871203,0.035676718,-0.122740425,0.05928617,0.035676718
59,0.010872697,0.05541008,0.05541008,0.05541008,0.11743906
60,0.010874276,0.09995729,0.09995729,0.09995729,0.27019075
61,0.010875834,0.14718805,-0.12153533,0.06846859,0.14718805
62,0.010877461,0.17823951,0.17823951,0.17823951,0.28582886
63,0.010879125,0.19589658,0.19589658,0.19589658,0.25701958
64,0.010880781,0.20855503,-0.08763717,0.06007169,0.20855503
65,0.010882381,0.2214765,0.2214765,0.2214765,0.18195947
66,0.010883962,0.22893973,0.22893973,0.22893973,0.1844148
67,0.010885566,0.22252734,-0.047622014,0.04776345,0.22252734
68,0.010887147,0.1925364,0.1925364,0.1925364,0.2517314
69,0.010888694,0.12654682,0.12654682,0.12654682,0.26994196
70,0.010890236,0.014906236,-0.055779833,0.05907749,0.014906236
71,0.010891806,-0.13947622,-0.13947622,-0.1394762,-0.10720828
72,0.010893389,-0.28702736,-0.28702736,-0.2870274,-0.34731737
73,0.010894964,-0.35778588,-0.09630304,0.06501155,-0.35778588
74,0.010896534,-0.32071307,-0.32071307,-0.3207131,-0.39583048
75,0.010898128,-0.24025866,-0.24025866,-0.2402587,-0.27489045
76,0.010899729,-0.19785796,-0.09196615,0.00846302,-0.19785796
77,0.01090135,-0.25023365,-0.25023365,-0.2502337,-0.25004414
78,0.01090299,-0.34299517,-0.34299517,-0.3429952,-0.41193667
79,0.010904595,-0.39269108,-0.090066954,-0.0514645,-0.39269108
80,0.010906178,-0.3271849,-0.3271849,-0.3271849,-0.27427253
81,0.010907746,-0.20138377,-0.20138377,-0.2013838,-0.24099828
82,0.010909314,-0.09940874,-0.14130637,-0.0713106,-0.09940874
83,0.010910873,-0.083714835,-0.083714835,-0.0837148,-0.009761339
84,0.010912447,-0.13670821,-0.13670821,-0.1367082,-0.10123036
85,0.010914058,-0.2210683,-0.11357825,-0.0711813,-0.2210683
86,0.010915671,-0.30036163,-0.30036163,-0.3003616,0.04771301
87,0.010917265,-0.33372918,-0.33372918,-0.3337292,-0.017483419
88,0.010918883,-0.2839107,-0.10884951,-0.0419003,-0.2839107
89,0.010920535,-0.13500215,-0.13500215,-0.1350022,-0.06747077
90,0.010922154,0.053151052,0.053151052,0.05315105,0.15007572
91,0.010923776,0.20989516,-0.10612452,-0.0477007,0.20989516
92,0.010925372,0.27933574,0.27933574,0.27933574,0.09966261
93,0.010926929,0.2720624,0.2720624,0.2720624,-0.01899369
94,0.010928457,0.21715216,-0.10672966,-0.0060634,0.21715216
95,0.010929919,0.13957529,0.13957529,0.13957529,0.27789256
96,0.010931388,0.039528765,0.039528765,0.03952877,0.09511064
97,0.01093289,-0.087445445,-0.10599062,0.02636639,-0.087445445
98,0.0109344,-0.23152491,-0.23152491,-0.2315249,-0.18036187
99,0.010935892,-0.34024566,-0.34024566,-0.3402457,-0.29843658
100,0.010937374,-0.35419747,-0.13083237,0.04109951,-0.35419747
101,0.01093889,-0.24739438,-0.24739438,-0.2473944,-0.22243944
102,0.01094046,-0.10857177,-0.10857177,-0.1085718,0.003999743
103,0.010942066,-0.04762569,-0.087510966,0.01442982,-0.04762569
104,0.010943694,-0.14708655,-0.14708655,-0.1470866,-0.21230222
105,0.010945342,-0.32258764,-0.32258764,-0.3225876,-0.49619848
106,0.010947002,-0.45439026,-0.07307969,-0.0309464,-0.45439026
107,0.010948637,-0.46165007,-0.46165007,-0.4616501,-0.49107206
108,0.010950257,-0.38757816,-0.38757816,-0.3875782,-0.4542067
109,0.010951877,-0.31821254,-0.109253526,-0.0401255,-0.31821254
110,0.010953523,-0.30621767,-0.30621767,-0.3062177,-0.39853224
111,0.010955151,-0.31829414,-0.31829414,-0.3182941,-0.386605
112,0.010956738,-0.2968557,-0.12603343,-0.0354513,-0.2968557
113,0.010958294,-0.2069147,-0.2069147,-0.2069147,-0.040560275
114,0.010959894,-0.10137347,-0.10137347,-0.1013735,0.04846174
115,0.010961461,-0.03971859,-0.13583706,0.02388141,-0.03971859
116,0.010963007,-0.061983537,-0.061983537,-0.0619835,-0.16344528
117,0.010964574,-0.13142453,-0.13142453,-0.1314245,-0.2624043
118,0.010966155,-0.18670179,-0.12506096,0.04750197,-0.18670179
119,0.010967745,-0.17873451,-0.17873451,-0.1787345,-0.14430246
120,0.010969333,-0.11549564,-0.11549564,-0.1154956,-0.09112295
121,0.010970951,-0.01825509,-0.11889029,0.07216139,-0.01825509
122,0.010972568,0.08811302,0.08811302,0.08811302,0.17352113
123,0.010974144,0.1787214,0.1787214,0.1787214,0.16164483
124,0.010975716,0.23290022,-0.11548223,0.08137575,0.23290022
125,0.010977292,0.23421703,0.23421703,0.23421703,0.15386912
126,0.010978875,0.20901918,0.20901918,0.20901918,0.1297158
127,0.010980478,0.19122578,-0.10519482,0.051071,0.19122578
128,0.010982085,0.2031397,0.2031397,0.2031397,0.32610327
129,0.010983714,0.23269555,0.23269555,0.23269555,0.24789599
130,0.01098532,0.2581041,-0.093789816,0.0424725,0.2581041
131,0.010986878,0.26751998,0.26751998,0.26751998,0.22029814
132,0.010988371,0.2917168,0.2917168,0.2917168,0.3543688
133,0.010989851,0.3754262,-0.116399534,0.0286828,0.3754262
134,0.010991354,0.5384225,0.5384225,0.5384225,0.5005708
135,0.010992891,0.72010016,0.72010016,0.72010016,0.65766114
136,0.010994474,0.848531,-0.116021916,0.04425253,0.848531
