,time,prediction,target
0,0.002200139,76.932236,1305.9717
1,0.002201789,130.09683,488.41333
2,0.002203333,28.916634,-35.852036
3,0.002204805,-186.75008,-98.2213
4,0.002206322,-44.037136,-49.510628
5,0.002207932,-390.95795,-371.37045
6,0.002209557,-461.25122,-668.5941
7,0.002211155,259.9944,-740.14923
8,0.002212736,5.25577,-90.21051
9,0.00221432,713.6129,721.4923
10,0.002215953,1026.4441,1176.5168
11,0.002217638,424.52548,1013.11365
12,0.002219328,508.27274,598.25336
13,0.002221021,134.1388,222.77835
14,0.002222694,99.52169,367.76785
15,0.002224369,308.4876,547.55945
16,0.002225997,-0.28832594,171.66574
17,0.002227613,-277.8413,-420.94775
18,0.002229199,-684.32184,-656.7078
19,0.002230778,-418.03424,-415.92966
20,0.00223235,-88.35177,17.032816
21,0.002233915,6.541911,43.9605
22,0.002235514,3.1419988,203.06624
23,0.002237114,-200.97115,335.48773
24,0.002238688,357.29187,321.36172
25,0.002240268,83.22444,125.18499
26,0.002241863,-54.245613,-122.36404
27,0.002243405,90.07248,95.29058
28,0.002244908,312.91406,368.0502
29,0.002246428,188.3278,656.56854
30,0.002247967,581.1557,416.00137
31,0.002249473,336.76886,276.04947
32,0.002250971,357.62613,264.66623
33,0.002252479,514.8292,511.23172
34,0.002254057,224.214,755.9179
35,0.002255698,751.27734,738.34155
36,0.002257328,100.67136,415.495
37,0.002258956,187.23578,116.16149
38,0.002260572,257.5577,180.47179
39,0.002262192,396.0645,247.31384
40,0.002263828,275.80136,203.66347
41,0.002265467,-13.500271,290.99017
42,0.002267099,466.63345,471.78476
43,0.002268693,194.06172,702.70197
44,0.002270265,649.49176,683.7039
45,0.00227187,425.01163,305.83026
46,0.002273501,-297.01434,-354.6283
47,0.002275148,-258.32587,-1137.9005
48,0.0022768,-1828.2987,-1357.3794
49,0.002278439,-1694.3165,-1125.4851
50,0.002280083,-1316.112,-1035.3638
51,0.002281741,-1741.0593,-1429.8464
52,0.002283411,-2226.9338,-1808.7589
53,0.002285094,-1572.1171,-1201.7174
54,0.002286802,667.9788,525.1922
55,0.002288463,291.40765,1405.9994
56,0.002290081,825.0462,830.0502
57,0.002291693,61.758656,-1.3647372
58,0.002293289,-130.15086,-93.4726
59,0.002294869,44.67571,15.403393
60,0.002296463,273.02667,-35.868263
61,0.002298057,271.8761,-86.870514
62,0.002299632,307.91623,164.50537
63,0.002301203,695.4947,608.60767
64,0.002302811,553.1189,1318.9746
65,0.002304441,1599.0333,1724.9703
66,0.002306038,1385.3961,1445.7288
67,0.002307652,563.06165,431.6432
68,0.002309263,-246.89014,-432.48682
69,0.002310844,-123.3603,-992.7293
70,0.002312416,-1103.074,-1152.3348
71,0.002313961,-668.26886,-735.4557
72,0.002315478,91.530785,64.97422
73,0.002317037,393.97568,385.0683
74,0.002318636,545.2221,532.3331
75,0.002320254,132.23509,327.0712
76,0.002321866,-119.89701,-220.34042
77,0.002323483,40.010403,-525.30554
78,0.002325084,-729.2345,-757.11536
79,0.002326631,-619.86725,-590.19354
80,0.002328202,-295.23062,-446.43427
81,0.002329843,-282.65137,-234.53458
82,0.002331472,-128.14592,13.971968
83,0.002333025,-16.839716,-24.864786
84,0.002334514,228.6297,62.023727
85,0.002335989,68.4561,-66.45079
86,0.00233745,-186.80278,-247.28433
87,0.002338944,-40.97595,104.67437
88,0.002340485,61.72945,482.3825
89,0.002342072,447.21375,518.2785
90,0.002343699,822.2469,778.4377
91,0.002345352,790.08704,709.8461
92,0.002347024,831.9803,603.1708
93,0.002348668,688.6042,637.02844
94,0.002350193,929.8858,772.74445
95,0.002351671,1064.0505,1089.174
96,0.002353146,1283.3396,1161.1866
97,0.002354655,295.07794,834.7761
98,0.002356237,655.0288,463.3358
99,0.002357896,764.05255,751.7145
100,0.002359535,518.1038,956.1585
101,0.002361136,1139.3478,793.82635
102,0.002362754,1092.4575,790.4052
103,0.00236439,1089.675,838.10315
104,0.002365994,1095.7953,1110.259
105,0.002367602,1052.9911,939.01056
106,0.002369196,783.0393,431.2926
107,0.002370817,461.82022,28.026556
108,0.002372428,145.10709,-161.64223
109,0.002373989,347.96887,234.30441
110,0.002375521,842.4797,762.55896
111,0.002377052,1440.1244,1322.2983
112,0.002378574,1808.5848,1523.4608
113,0.002380071,1612.1937,1326.7516
114,0.002381528,1166.3922,914.28687
115,0.002383,968.35486,721.9759
116,0.002384496,852.1272,689.32904
117,0.002386034,903.1389,680.73395
118,0.002387593,978.0574,689.34204
119,0.002389144,470.6234,222.63554
120,0.002390657,-299.88156,-228.52972
121,0.002392135,-661.82355,-649.2163
122,0.002393635,-176.41594,-590.09296
123,0.002395146,-470.2919,-497.0146
124,0.002396639,-438.6666,-260.0698
125,0.002398155,-64.029785,33.301083
126,0.002399754,501.4949,388.18753
127,0.002401413,129.33734,365.47302
128,0.002403074,431.35364,226.32283
129,0.002404685,280.17828,-157.9809
130,0.002406287,93.47033,-240.95166
131,0.002407942,-23.428825,-282.26175
132,0.00240964,-107.29013,-132.07242
133,0.002411261,38.327198,204.62425
134,0.002412853,478.31912,472.77148
135,0.002414423,644.42926,489.14365
136,0.002416037,740.84686,610.49347
137,0.002417708,663.0532,752.26636
138,0.002419349,464.11456,797.87067
139,0.002420943,1252.3099,967.62616
140,0.002422507,1695.3446,1384.4534
141,0.002424047,1874.0652,1781.3544
142,0.002425591,1937.0819,1800.7095
143,0.002427138,1612.6156,1177.1758
144,0.002428689,-15.301946,389.2165
145,0.002430263,-65.86081,-81.352554
146,0.002431842,-830.9851,-655.8314
147,0.002433399,-994.95105,-1031.7316
148,0.002434988,-1346.4462,-1334.1714
149,0.002436614,-1336.0302,-1260.6202
150,0.002438234,-10.652866,-669.86005
151,0.002439801,-36.933735,70.849236
152,0.002441342,173.79286,460.07367
153,0.002442884,-61.609535,-211.30069
154,0.002444421,-367.12347,-472.07983
155,0.002445972,-382.98746,-397.584
156,0.002447519,539.2679,113.05195
157,0.002449084,1060.0736,611.1037
158,0.002450655,1195.686,860.4996
159,0.002452282,1213.5405,1070.731
160,0.002453904,1459.9956,1045.8514
161,0.002455445,1295.4781,992.39526
162,0.002456935,794.5281,740.2728
163,0.002458446,371.62958,447.91467
164,0.002460038,452.60144,313.74045
165,0.002461652,497.84827,460.05746
166,0.002463285,421.23383,445.83734
167,0.00246492,423.5651,378.6512
168,0.002466564,407.96136,179.59865
169,0.002468243,375.89978,102.36332
170,0.002469939,566.9011,262.7317
171,0.00247162,838.3658,762.91925
172,0.002473277,1197.0186,1097.7463
173,0.002474914,1053.9739,982.8524
174,0.002476507,368.72202,564.28864
175,0.002478104,150.43208,34.213173
176,0.00247971,-23.587563,-268.91476
177,0.00248134,-72.87013,-238.23485
178,0.002482952,-8.910175,-151.85919
179,0.002484511,65.64207,-330.9854
180,0.00248606,-572.72205,-439.22195
181,0.002487668,-561.0805,-482.85938
182,0.00248928,-305.59396,-716.11365
183,0.002490855,-1312.4622,-1240.2004
184,0.0024924,-1571.7822,-1446.66
185,0.002493943,-1566.6246,-1429.5739
186,0.002495499,-1084.3602,-1286.4734
187,0.002497065,-692.53595,-1009.6143
188,0.002498625,-403.9943,-663.4657
189,0.002500124,-173.1682,-186.6029
190,0.002501637,274.75082,372.21143
191,0.002503188,554.10236,885.05457
192,0.002504754,1008.24036,956.655
193,0.002506333,640.4572,690.0366
194,0.00250791,577.3307,428.59528
195,0.0025095,394.751,233.19434
196,0.002511116,292.2577,241.29927
197,0.002512803,453.4006,269.89856
198,0.002514476,-210.31834,-157.1175
199,0.002516062,-858.7416,-792.99835
200,0.002517637,-930.8781,-1249.7952
201,0.002519286,-303.0801,-822.117
202,0.002520963,-129.60147,-33.1742
203,0.002522579,220.56471,399.37277
204,0.002524109,693.0239,439.25797
205,0.002525637,866.248,703.3252
206,0.0025272,1012.4948,1098.3046
207,0.002528743,619.7189,1360.3918
208,0.002530283,1014.5282,815.13544
209,0.002531839,834.1239,570.3129
210,0.002533407,594.54895,644.7146
211,0.002534977,949.9151,982.57007
212,0.002536555,1009.043,945.6256
213,0.002538156,314.0968,345.02405
214,0.002539775,168.08911,106.56023
215,0.002541356,113.57793,149.06155
216,0.002542934,380.48764,152.02502
217,0.002544491,31.563831,92.47642
218,0.002546038,16.56852,-41.886097
219,0.002547619,32.803875,-160.75285
220,0.002549159,9.036896,-150.56734
221,0.002550627,-115.20008,-119.446
222,0.002552086,-378.63837,-251.00407
223,0.002553575,-169.31412,-526.0553
224,0.002555103,-255.20377,-802.97284
225,0.002556675,-1434.8625,-1304.475
226,0.00255824,-1733.5734,-1617.954
227,0.002559781,-1732.236,-1627.1041
228,0.002561316,-1151.21,-1204.1649
229,0.002562791,-252.53288,-293.6093
230,0.002564241,243.92604,406.81558
231,0.002565746,137.82756,665.2609
232,0.002567267,795.4469,903.67285
233,0.00256877,526.98553,583.4847
234,0.002570311,837.1262,654.8742
235,0.002571904,206.88966,200.52147
236,0.002573521,-75.122,-236.90082
237,0.002575121,-298.8522,-403.06952
238,0.002576682,-120.473305,-247.43362
239,0.002578223,213.56693,8.256002
240,0.002579786,90.168304,34.816902
241,0.002581292,-22.756819,-43.927746
242,0.002582762,35.366108,-199.14168
243,0.002584269,274.95685,166.66386
244,0.002585848,585.48334,687.2614
245,0.002587483,798.10693,858.2665
246,0.002589004,-183.85129,759.52405
247,0.002590478,-250.8506,85.5043
248,0.002591952,-584.9255,-573.12683
249,0.002593462,-652.487,-605.0531
250,0.002595002,-293.65466,-72.23816
251,0.002596525,127.56321,266.80524
252,0.002598041,359.76236,126.37621
253,0.002599586,139.46744,-383.31198
254,0.00260117,-420.7881,-470.3855
255,0.00260277,-272.59396,-294.8005
256,0.002604377,-18.734278,43.57424
257,0.002606005,-55.379353,405.04984
258,0.002607628,112.365875,137.78543
259,0.002609276,488.83325,409.68164
260,0.00261094,136.51009,684.03503
261,0.00261257,104.621254,918.89264
262,0.002614172,365.16245,336.45175
263,0.002615749,42.17492,-412.24884
264,0.00261733,8.112193,-466.81503
265,0.002618939,-110.08114,-246.74551
266,0.002620553,-236.35905,-313.43176
267,0.002622152,-44.855972,-707.1355
268,0.002623759,-503.7895,-624.736
269,0.002625361,-249.10033,-188.62834
270,0.002627022,163.22672,311.3612
271,0.00262872,-27.991005,-192.87392
272,0.002630407,-104.56906,-762.3152
273,0.002632037,-154.7142,-1253.8721
274,0.00263365,-129.90483,-1599.6667
275,0.002635283,-205.65465,-1777.0986
276,0.002636907,-167.14095,-1231.1412
277,0.002638551,-109.672806,-191.06923
278,0.002640162,-78.83303,-26.711683
279,0.002641753,-147.20712,-393.26053
280,0.002643338,-216.80014,-559.06573
281,0.002644923,-362.33575,-387.25894
282,0.002646483,338.5898,242.55215
283,0.002648017,479.7282,1317.8516
284,0.00264959,1653.6453,1677.7463
285,0.00265122,1470.0339,1224.9452
286,0.002652856,1119.9993,691.6531
287,0.002654481,1067.3068,609.3477
288,0.002656062,308.44904,439.23523
289,0.002657669,200.9071,208.88931
290,0.002659306,-590.5777,-310.78964
291,0.002660934,-721.8469,-363.2363
292,0.002662543,-880.2246,-777.4766
293,0.002664146,-867.70795,-838.04767
294,0.002665746,-597.8727,-605.4394
295,0.002667334,-608.5153,-469.47668
296,0.00266891,-425.1687,-150.86272
297,0.002670494,-736.22723,-490.18527
298,0.002672072,-1199.4695,-1155.1166
299,0.002673653,-1731.3702,-1661.7147
300,0.002675228,-939.4475,-2049.5498
301,0.002676812,-2287.5562,-2450.515
302,0.002678399,-2165.1243,-2173.2368
303,0.002680006,-638.9158,-1206.1935
304,0.002681598,-470.3041,-771.0726
305,0.002683191,-967.7808,-1028.9304
306,0.002684819,-1241.1423,-1346.6744
307,0.00268651,-288.74002,-389.4856
308,0.002688175,303.9831,239.89055
309,0.002689808,749.41534,784.3776
310,0.002691464,678.7847,634.37006
311,0.002693084,524.22644,230.53922
312,0.002694647,488.5227,330.96625
313,0.002696209,612.0101,540.89246
314,0.002697814,1101.9237,1070.124
315,0.002699431,1043.1713,994.69336
316,0.002700982,313.3052,1163.9586
317,0.002702524,292.10535,1152.3872
318,0.002704067,79.42392,791.42444
319,0.002705601,85.8543,335.29297
320,0.002707143,-28.127665,-194.04243
321,0.002708717,-268.61856,-418.53284
322,0.002710279,-132.79195,-165.88782
323,0.002711826,91.42776,155.27739
324,0.002713363,-43.272156,231.62334
325,0.002714906,282.82516,417.10495
326,0.00271644,-17.188324,32.616207
327,0.002717963,-310.5716,-642.0495
328,0.002719513,-790.30566,-912.5176
329,0.002721091,-115.52903,-632.38654
330,0.002722638,-21.451624,-174.23618
331,0.002724217,-23.770744,218.8606
332,0.002725811,175.7268,188.70328
333,0.002727406,166.67499,177.67708
334,0.002728999,5.954015,459.4375
335,0.002730586,486.49542,463.0534
336,0.002732167,896.502,829.9431
337,0.002733723,975.16034,952.007
338,0.00273524,1359.1187,1338.6705
339,0.002736737,687.7347,1224.2927
340,0.002738224,458.47705,815.13873
341,0.002739712,1080.8766,628.44635
342,0.002741206,701.7639,628.44635
343,0.002742704,103.63824,735.7741
344,0.002744273,394.99997,637.5445
345,0.002745888,98.28655,160.7921
346,0.002747481,-252.43672,-316.7523
347,0.002749048,-123.21497,-203.27042
348,0.002750643,-23.6666,388.87244
349,0.002752243,640.69775,871.5712
350,0.002753902,539.07574,610.8245
351,0.002755576,70.38215,9.843229
352,0.002757199,-82.877686,-171.0682
353,0.002758808,-526.3648,-610.3991
354,0.002760369,-941.3627,-808.6856
355,0.002761913,-438.7138,-1188.4127
356,0.002763456,-435.11777,-1429.2655
357,0.002765008,-1250.2643,-1211.8186
358,0.002766559,-976.8612,-791.00543
359,0.002768088,-658.31366,-635.03516
360,0.002769611,-615.3943,-811.38617
361,0.002771157,-778.0028,-833.09125
362,0.002772721,-322.14957,-477.38684
363,0.002774284,356.90112,330.30084
364,0.002775921,656.229,721.4371
365,0.002777578,431.75507,515.6331
366,0.00277916,84.95342,160.01634
367,0.002780708,34.295414,146.51355
368,0.002782304,45.965096,180.56265
369,0.002783895,60.812637,259.70654
370,0.002785423,-99.20972,-126.59014
371,0.002786926,-196.9804,-210.42754
372,0.002788429,-113.31871,175.15506
373,0.002789956,142.5383,246.9503
374,0.002791524,-99.85904,-162.64844
375,0.002793168,-671.53723,-661.7713
376,0.002794829,-799.94025,-742.30774
377,0.002796424,-696.85565,-514.737
378,0.002797964,144.96529,-217.90602
379,0.00279951,-228.4089,-321.88724
380,0.002801071,95.27107,-93.45961
381,0.002802652,492.52216,463.05014
382,0.002804265,315.9503,1261.1008
383,0.00280593,235.21327,1567.822
384,0.002807589,1482.151,1246.5853
385,0.0028092,1153.2438,776.44147
386,0.002810818,778.6456,491.37357
387,0.002812394,659.3801,581.3132
388,0.002813943,348.1082,251.29002
389,0.002815485,-361.299,-568.68646
390,0.002817054,-1146.5023,-1061.5936
391,0.002818664,-1258.796,-1236.6171
392,0.002820334,-752.7279,-593.8127
393,0.002821981,214.20988,337.62027
394,0.002823591,840.481,848.99304
395,0.002825114,892.74225,729.198
396,0.002826587,935.06995,786.66595
397,0.002828028,1152.9906,1033.5756
398,0.002829483,1318.4701,1321.0779
399,0.002830983,512.0523,1011.10443
400,0.002832529,280.83502,244.80803
401,0.002834091,54.38237,-211.62527
402,0.002835644,76.1726,-279.6683
403,0.002837189,58.681126,-42.00295
404,0.002838752,235.26323,124.08139
405,0.002840346,57.55426,-41.389477
406,0.002841924,-131.7069,-297.39072
407,0.002843505,-240.38057,-213.87791
408,0.002845123,30.343113,351.60342
409,0.002846737,104.16092,782.08606
410,0.002848313,592.04065,665.644
411,0.002849879,240.50787,413.1028
412,0.002851465,491.04404,328.75906
413,0.002853022,684.27606,567.2424
414,0.002854586,716.0545,766.1975
415,0.002856174,422.97195,811.92523
416,0.002857672,543.0619,535.8159
417,0.002859148,211.89186,170.51022
418,0.002860629,-185.86354,-155.7737
419,0.002862178,-461.7708,-481.00598
420,0.002863718,-736.3888,-952.79224
421,0.002865274,-1981.0515,-1687.8861
422,0.002866847,-2591.3284,-2411.707
423,0.002868425,-3011.8455,-2832.001
424,0.002870039,-3233.2927,-2686.7031
