,time,spline,prediction,target
0,0.010756259,-1510.6093,-1221.8633,-1510.6093
1,0.01075788,-1846.4911,-1846.4911,-1050.2521
2,0.010759481,-2080.3838,-2080.3838,-1594.3834
3,0.010761086,-2261.8718,406.69507,-2261.8718
4,0.010762686,-2402.9604,-2402.9604,-2199.1477
5,0.010764275,-2392.8645,-2392.8645,-1735.9218
6,0.010765861,-2092.9946,1073.9463,-2092.9946
7,0.010767436,-1440.4077,-1440.4077,-1778.7874
8,0.010769019,-642.87476,-642.87476,-781.39215
9,0.010770614,13.95032,988.90424,13.95032
10,0.010772205,310.3538,310.3538,318.51755
11,0.010773811,353.46365,353.46365,448.74594
12,0.01077543,328.70923,708.369,328.70923
13,0.010777092,393.4193,393.4193,249.8414
14,0.010778749,546.486,546.486,408.10175
15,0.010780383,741.9801,-135.4095,741.9801
16,0.010782021,940.666,940.666,1012.86224
17,0.010783717,1104.9175,1104.9175,1089.6351
18,0.002200074,-830.2716,349.45557,-830.2716
19,0.002201603,-1403.5919,-1403.5919,-488.19025
20,0.002203141,-1302.3871,-1302.3871,-508.38425
21,0.002204697,-757.1605,-143.298,-757.1605
22,0.002206301,4.674799,4.674799,-47.24648
23,0.002207887,688.7089,688.7089,790.0238
24,0.002209453,1033.8743,-895.54645,1033.8743
25,0.002211022,880.185,880.185,452.9945
26,0.00221263,401.15155,401.15155,-157.00337
27,0.002214236,-106.897354,677.99054,-106.897354
28,0.002215837,-406.626,-406.626,47.303593
29,0.002217412,-502.3241,-502.3241,-230.90839
30,0.002218998,-459.51236,1858.3564,-459.51236
31,0.002220604,-352.2982,-352.2982,-496.02823
32,0.002222232,-327.31827,-327.31827,-196.7634
33,0.002223844,-551.0961,873.7394,-551.0961
34,0.002225427,-1074.881,-1074.881,-1167.088
35,0.00222695,-1561.6033,-1561.6033,-1653.1361
36,0.002228468,-1652.3604,518.3582,-1652.3604
37,0.002230034,-1076.7949,-1076.7949,-812.6398
38,0.002231606,-96.91734,-96.91734,404.66034
39,0.002233156,855.9104,571.10876,855.9104
40,0.002234742,1471.8501,1471.8501,980.2859
41,0.002236358,1674.8418,1674.8418,1120.4817
42,0.002237961,1477.0265,157.23021,1477.0265
43,0.002239559,956.631,956.631,893.3609
44,0.002241175,374.0231,374.0231,55.502434
45,0.002242764,60.00602,965.1489,60.00602
46,0.002244336,203.07356,203.07356,139.21936
47,0.002245947,588.41956,588.41956,783.28284
48,0.002247575,872.0807,621.76447,872.0807
49,0.002249224,784.6725,784.6725,1018.43646
50,0.002250836,454.1078,454.1078,464.15607
51,0.002252395,101.952896,-225.86243,101.952896
52,0.002253906,-114.68381,-114.68381,226.62431
53,0.002255378,-163.14638,-163.14638,366.74072
54,0.002256828,-36.131855,-500.44684,-36.131855
55,0.002258298,259.60602,259.60602,-158.33134
56,0.002259814,611.4586,611.4586,372.43878
57,0.002261363,850.7392,-458.75995,850.7392
58,0.002262882,834.8755,834.8755,790.17175
59,0.002264405,581.66516,581.66516,458.25952
60,0.002265955,129.86937,-1154.816,129.86937
61,0.00226749,-441.05524,-441.05524,129.27032
62,0.002269034,-989.3896,-989.3896,-331.56427
63,0.002270573,-1340.6998,-1193.2363,-1340.6998
64,0.002272122,-1385.3748,-1385.3748,-1548.8248
65,0.002273711,-1239.323,-1239.323,-1324.3815
66,0.002275292,-1094.8826,-799.226,-1094.8826
67,0.002276886,-1097.183,-1097.183,-1188.8589
68,0.002278541,-1198.6531,-1198.6531,-1344.7343
69,0.002280227,-1287.1945,-619.60046,-1287.1945
70,0.002281963,-1277.7498,-1277.7498,-1052.878
71,0.002283669,-1251.45,-1251.45,-1477.186
72,0.002285286,-1322.1731,-93.46333,-1322.1731
73,0.002286842,-1539.6321,-1539.6321,-1612.1528
74,0.002288415,-1814.1692,-1814.1692,-1740.6241
75,0.002290001,-2011.0234,-403.1614,-2011.0234
76,0.002291578,-2022.4473,-2022.4473,-1561.5308
77,0.002293147,-1870.5275,-1870.5275,-1388.3158
78,0.002294743,-1600.2299,263.037,-1600.2299
79,0.002296375,-1261.3824,-1261.3824,-1005.713
80,0.00229797,-942.0766,-942.0766,-1053.9679
81,0.002299517,-715.30023,849.06665,-715.30023
82,0.002301068,-620.6413,-620.6413,-597.07025
83,0.002302662,-634.6455,-634.6455,-539.37524
84,0.002304235,-712.2437,1175.3636,-712.2437
85,0.002305733,-789.64984,-789.64984,-1010.9673
86,0.002307235,-765.79535,-765.79535,-996.9801
87,0.00230879,-509.47043,305.1169,-509.47043
88,0.002310371,55.40471,55.40471,310.39536
89,0.002311873,684.2832,684.2832,862.90393
90,0.002313364,1155.2185,556.157,1155.2185
91,0.002314878,1304.5638,1304.5638,708.61646
92,0.002316401,1229.3832,1229.3832,816.32715
93,0.002317943,1107.6133,627.5106,1107.6133
94,0.002319475,1071.1533,1071.1533,1115.7255
95,0.002320976,1031.426,1031.426,622.12805
96,0.002322484,849.69635,-101.35431,849.69635
97,0.002324037,439.3089,439.3089,1166.8275
98,0.002325616,-1.4438294,-1.4438294,498.23972
99,0.002327185,-181.7767,-23.540604,-181.7767
100,0.002328799,83.68889,83.68889,-9.980013
101,0.002330418,546.216,546.216,383.49927
102,0.002332004,827.16754,682.11646,827.16754
103,0.002333578,689.3203,689.3203,914.93695
104,0.002335141,311.0634,311.0634,667.8207
105,0.002336718,-38.946598,432.21182,-38.946598
106,0.002338301,-153.51712,-153.51712,-599.1055
107,0.002339856,-120.86589,-120.86589,-368.52042
108,0.002341421,-99.75585,-206.58305,-99.75585
109,0.002343024,-192.65433,-192.65433,-343.85895
110,0.002344582,-261.45358,-261.45358,-175.86935
111,0.002346118,-126.69798,-67.69471,-126.69798
112,0.002347672,308.06604,308.06604,378.81165
113,0.002349266,795.6015,795.6015,669.16675
114,0.002350892,953.24994,-662.86475,953.24994
115,0.002352496,524.8617,524.8617,750.2854
116,0.002354093,-184.45113,-184.45113,-103.840836
117,0.002355699,-750.9608,97.03639,-750.9608
118,0.002357307,-854.54156,-854.54156,-658.4605
119,0.002358865,-655.58075,-655.58075,-441.22736
120,0.002360355,-418.92593,747.77155,-418.92593
121,0.002361859,-318.42563,-318.42563,-658.16455
122,0.002363358,-388.06732,-388.06732,-1038.3243
123,0.002364881,-626.63586,986.496,-626.63586
124,0.002366425,-994.41205,-994.41205,-347.70212
125,0.00236797,-1279.6536,-1279.6536,-545.43054
126,0.002369496,-1234.8546,540.59174,-1234.8546
127,0.002371056,-711.36676,-711.36676,-1568.5171
128,0.002372668,22.119171,22.119171,-750.084
129,0.002374321,514.40643,388.04846,514.40643
130,0.00237596,429.4108,429.4108,1235.316
131,0.002377554,97.944305,97.944305,610.685
132,0.002379095,-42.353153,481.4397,-42.353153
133,0.00238064,265.58112,265.58112,-88.33089
134,0.002382183,772.7778,772.7778,232.03368
135,0.002383731,1102.9185,1021.971,1102.9185
136,0.00238528,984.6071,984.6071,1353.102
137,0.002386846,586.58405,586.58405,876.09717
138,0.002388397,204.58272,96.99893,204.58272
139,0.0023899,56.12589,56.12589,22.302912
140,0.002391409,84.53493,84.53493,-169.17172
141,0.00239293,186.19307,-492.93848,186.19307
142,0.00239449,279.1879,279.1879,560.43463
143,0.002396075,373.92642,373.92642,579.1419
144,0.002397699,510.86273,245.91206,510.86273
145,0.002399343,695.60205,695.60205,449.89832
146,0.002400978,786.7052,786.7052,288.37903
147,0.002402567,621.4532,721.74164,621.4532
148,0.002404146,118.27498,118.27498,263.79694
149,0.002405757,-552.21173,-552.21173,-177.9263
150,0.002407401,-1124.1162,414.97763,-1124.1162
151,0.002409078,-1362.3253,-1362.3253,-1655.7886
152,0.002410743,-1276.506,-1276.506,-1592.5686
153,0.002412376,-962.1387,3.1654356,-962.1387
154,0.002414,-508.7435,-508.7435,-800.75287
155,0.002415656,-13.783475,-13.783475,-500.55347
156,0.002417304,392.8348,54.833466,392.8348
157,0.002418909,614.826,614.826,1344.1598
158,0.002420473,664.1577,664.1577,1569.3104
159,0.00242201,570.8095,1531.9985,570.8095
160,0.002423553,364.3667,364.3667,-390.977
161,0.002425113,111.82476,111.82476,-276.30875
162,0.002426689,-104.30635,-206.83522,-104.30635
163,0.00242828,-216.78859,-216.78859,-384.74847
164,0.002429896,-237.05879,-237.05879,-927.3261
165,0.002431469,-199.91374,694.7543,-199.91374
166,0.00243303,-116.65469,-116.65469,325.11142
167,0.002434594,100.83402,100.83402,389.32
168,0.002436146,559.6661,369.94305,559.6661
169,0.002437654,1251.5559,1251.5559,1989.2592
170,0.002439154,1834.4045,1834.4045,2565.8047
171,0.002440688,1870.6285,-590.94507,1870.6285
172,0.002442268,1042.8917,1042.8917,764.2256
173,0.002443898,-142.9653,-142.9653,-680.40106
174,0.002445518,-836.17175,307.4112,-836.17175
175,0.002447149,-489.7401,-489.7401,-349.17447
