,time,spline,prediction,target
0,0.002200367,670.6683,670.6683,670.6683
1,0.002202058,1295.4629,1295.4629,903.14874
2,0.002203771,1241.1741,1241.1741,695.52765
3,0.002205414,793.26984,793.26984,793.26984
4,0.002206975,233.13521,233.13521,790.53937
5,0.002208506,-239.03133,-239.03133,-495.8083
6,0.002210057,-436.83173,-21.122353,-436.83173
7,0.002211659,-209.85321,-209.85321,-373.76923
8,0.002213252,271.02267,271.02267,-230.67548
9,0.002214841,747.83624,747.83624,747.83624
10,0.002216448,1017.098,1017.098,1898.934
11,0.002218062,1061.8561,1061.8561,1284.3596
12,0.002219656,923.4339,73.548515,923.4339
13,0.002221222,656.83093,656.83093,252.21124
14,0.002222794,338.49667,338.49667,56.785458
15,0.002224331,62.465145,62.465145,62.465145
16,0.002225855,-120.01249,-120.01249,76.83624
17,0.002227403,-257.23734,-257.23734,-176.90985
18,0.00222895,-417.08173,-3.569035,-417.08173
19,0.002230496,-640.6944,-640.6944,-242.98016
20,0.002232099,-854.34576,-854.34576,-996.6325
21,0.002233776,-926.3591,-926.3591,-926.3591
22,0.002235436,-756.43164,-756.43164,-894.4997
23,0.002237094,-445.99658,-445.99658,-523.0778
24,0.002238718,-146.08563,-175.22275,-146.08563
25,0.002240281,43.442657,43.442657,597.8597
26,0.002241803,176.49042,176.49042,893.7972
27,0.00224333,332.70734,332.70734,332.70734
28,0.002244893,568.6713,568.6713,-493.55048
29,0.002246442,837.22217,837.22217,-328.8825
30,0.002247929,1067.9535,85.02608,1067.9535
31,0.00224939,1214.0096,1214.0096,1526.4613
32,0.002250885,1228.3461,1228.3461,1948.4574
33,0.002252457,1038.6644,1038.6644,1038.6644
34,0.002254101,597.5575,597.5575,686.83624
35,0.002255695,89.40022,89.40022,470.73077
36,0.002257252,-295.21063,-80.99421,-295.21063
37,0.002258785,-442.64462,-442.64462,-891.1325
38,0.002260295,-458.1325,-458.1325,-1000.5622
39,0.002261837,-492.9841,-492.9841,-492.9841
40,0.002263393,-649.52826,-649.52826,-458.61298
41,0.00226496,-815.18134,-815.18134,-896.859
42,0.002266521,-818.3161,-110.42496,-818.3161
43,0.002268074,-556.48566,-556.48566,-686.5622
44,0.002269638,-178.38506,-178.38506,-324.9333
45,0.002271202,96.26983,96.26983,96.26983
46,0.002272763,119.61966,119.61966,159.055
47,0.002274323,26.789238,26.789238,57.347958
48,0.002275877,21.824522,12.208965,21.824522
49,0.002277408,224.9333,224.9333,143.32843
50,0.002278937,456.66492,456.66492,207.72295
51,0.0022805,461.6253,461.6253,461.6253
52,0.002282093,48.046707,48.046707,310.1136
53,0.002283682,-576.90936,-576.90936,-264.40594
54,0.00228528,-1110.8317,140.48338,-1110.8317
55,0.002286932,-1303.57,-1303.57,-1291.4215
56,0.0022886,-1136.5122,-1136.5122,-1469.1676
57,0.002290256,-687.7692,-687.7692,-687.7692
58,0.002291883,-85.59321,-85.59321,-243.8786
59,0.002293498,404.66275,404.66275,178.90656
60,0.002295121,484.96124,87.67163,484.96124
61,0.002296736,-18.381842,-18.381842,-70.29267
62,0.002298372,-766.95856,-766.95856,-838.113
63,0.002300001,-1263.0232,-1263.0232,-1263.0232
64,0.002301629,-1166.803,-1166.803,-1497.6951
65,0.002303256,-714.11914,-714.11914,-1071.8943
66,0.002304883,-283.84735,67.72872,-283.84735
67,0.002306491,-153.33539,-153.33539,101.562805
68,0.002308114,-192.9047,-192.9047,149.39484
69,0.002309769,-174.34344,-174.34344,-174.34344
70,0.002311398,64.73587,64.73587,3.4690533
71,0.002313017,397.0142,397.0142,184.0472
72,0.00231466,632.90656,49.432106,632.90656
