,time,spline,prediction,target
0,0.002210332,-679.3874,-640.2377,-679.3874
1,0.002211849,-1233.0355,-1233.0355,-1090.2233
2,0.002213378,-1722.0408,-1722.0408,-1706.321
3,0.002214947,-1880.9695,-1528.306,-1880.9695
4,0.002216516,-1520.4093,-1520.4093,-1183.8873
5,0.00221809,-884.62115,-884.62115,-509.42642
6,0.002219708,-317.94592,-1099.6656,-317.94592
7,0.002221298,-135.4887,-135.4887,-5.8248243
8,0.002222958,-296.61258,-296.61258,-127.10608
9,0.002224613,-677.942,-727.28644,-677.942
10,0.002226222,-1114.8761,-1114.8761,-1231.5358
11,0.00222783,-1420.8419,-1420.8419,-1563.0553
12,0.002229425,-1390.4186,-945.46783,-1390.4186
13,0.002230976,-935.8001,-935.8001,-871.16864
14,0.002232509,-317.84613,-317.84613,-179.60217
15,0.002234062,145.02284,-358.61438,145.02284
16,0.0022356,201.83688,201.83688,261.18298
17,0.002237149,-18.282965,-18.282965,-111.94202
18,0.002238726,-300.7272,137.71498,-300.7272
19,0.002240342,-462.15195,-462.15195,-359.3092
20,0.002241961,-510.33414,-510.33414,-551.1842
21,0.002243589,-513.26624,-87.90186,-513.26624
22,0.002245177,-521.4097,-521.4097,-709.1803
23,0.002246738,-514.6524,-514.6524,-451.79358
24,0.002248259,-459.3639,-413.94928,-459.3639
25,0.002249783,-340.18884,-340.18884,-219.06702
26,0.00225139,-209.29893,-209.29893,-59.668575
27,0.00225297,-160.13733,-78.247345,-160.13733
28,0.002254524,-240.47781,-240.47781,-336.96936
29,0.0022561,-377.2652,-377.2652,-453.22327
30,0.002257681,-461.94983,-974.66736,-461.94983
31,0.002259294,-412.49924,-412.49924,-316.1139
32,0.002260916,-268.05014,-268.05014,-278.40295
33,0.002262537,-104.28186,279.37997,-104.28186
34,0.0022642,11.145317,11.145317,247.78065
35,0.002265886,24.016846,24.016846,233.01112
36,0.0022675,-102.801384,-728.36914,-102.801384
37,0.002269034,-348.72525,-348.72525,-363.2428
38,0.002270525,-561.6307,-561.6307,-578.5436
39,0.00227201,-575.3131,-569.1567,-575.3131
40,0.002273527,-271.93048,-271.93048,-368.80923
41,0.0022751,229.71205,229.71205,117.241585
42,0.002276737,710.9994,352.38742,710.9994
43,0.002278353,933.7388,933.7388,1104.39
44,0.002279901,850.8328,850.8328,1237.0542
45,0.002281361,484.40567,904.8662,484.40567
46,0.002282818,-126.28558,-126.28558,-150.9967
47,0.002284332,-746.2471,-746.2471,-870.0202
48,0.002285904,-1006.6217,-168.2096,-1006.6217
49,0.002287467,-635.35266,-635.35266,-933.0045
50,0.002289051,71.42299,71.42299,-542.7897
51,0.002290609,649.1088,-188.29802,649.1088
52,0.002292157,769.47955,769.47955,1252.4292
53,0.002293677,490.88123,490.88123,855.16345
54,0.002295196,-46.723263,198.61069,-46.723263
55,0.00229675,-710.11304,-710.11304,-770.53577
56,0.002298374,-1284.2722,-1284.2722,-1605.0359
57,0.002300007,-1465.9498,-339.86273,-1465.9498
58,0.002301661,-1080.7954,-1080.7954,14.573613
59,0.002303254,-457.43878,-457.43878,397.50333
60,0.002304829,20.679083,-231.264,20.679083
61,0.002306405,81.7556,81.7556,70.30799
62,0.002307976,-176.4419,-176.4419,-105.84826
63,0.002309591,-574.7467,-365.97552,-574.7467
64,0.002311253,-939.3745,-939.3745,-124.797485
65,0.002312926,-1180.6493,-1180.6493,-590.8248
66,0.00231461,-1243.0905,-1118.3181,-1243.0905
67,0.002316255,-1096.7778,-1096.7778,-1312.4265
68,0.002317832,-803.7848,-803.7848,-1368.0203
69,0.002319391,-421.3131,-321.6333,-421.3131
70,0.002320901,-37.952686,-37.952686,156.60876
71,0.002322417,183.57787,183.57787,372.87833
72,0.002324017,17.54627,-36.186615,17.54627
73,0.002325663,-690.39636,-690.39636,-648.46155
74,0.002327302,-1514.5679,-1514.5679,-1439.8522
75,0.002328925,-1902.5007,-1198.963,-1902.5007
76,0.002330558,-1509.8562,-1509.8562,-1818.774
77,0.002332175,-758.2105,-758.2105,-838.7584
78,0.002333774,-243.95374,-540.4741,-243.95374
79,0.00233538,-368.28418,-368.28418,-211.22327
