,time,spline,prediction,target
0,0.002220229,-4040.2012,6640.542,-4040.2012
1,0.002221776,-9907.8545,-9907.8545,-5209.451
2,0.002223342,-15975.891,-15975.891,-14514.943
3,0.002224955,-19962.53,-19962.53,-19962.53
4,0.002226585,-19766.582,-19766.582,-14597.576
5,0.002228137,-16134.265,-16134.265,-9692.084
6,0.002229664,-10282.834,-3502.9458,-10282.834
7,0.00223122,-3247.047,-3247.047,-4174.576
8,0.002232821,2767.5044,2767.5044,2513.346
9,0.00223441,4864.1353,4864.1353,4864.1353
10,0.002235993,1675.0558,1675.0558,2890.6897
11,0.002237559,-3383.7642,-3383.7642,-5949.045
12,0.00223913,-5921.17,1910.1113,-5921.17
13,0.002240735,-2796.614,-2796.614,-1134.6464
14,0.002242346,3236.211,3236.211,2892.5256
15,0.00224393,7691.5024,7691.5024,7691.5024
16,0.002245513,7612.365,7612.365,12778.666
17,0.002247129,4596.423,4596.423,7109.057
18,0.002248769,1589.5334,4791.906,1589.5334
19,0.002250386,933.08734,933.08734,1469.1506
20,0.002251966,1543.7003,1543.7003,3485.432
21,0.002253551,1671.1038,1671.1038,1671.1038
22,0.002255128,264.36853,264.36853,-866.8182
23,0.002256651,-1083.607,-1083.607,-843.2869
24,0.002258137,-454.326,5101.771,-454.326
25,0.002259616,3137.3667,3137.3667,176.39278
26,0.002261101,7543.378,7543.378,4655.7056
27,0.002262631,9761.158,9761.158,9761.158
28,0.002264207,7407.7954,7407.7954,7005.854
29,0.002265789,3025.956,3025.956,509.36932
30,0.002267359,590.63495,5822.745,590.63495
31,0.002268964,2841.2043,2841.2043,5875.5415
32,0.002270574,7608.4385,7608.4385,12895.533
33,0.00227218,11295.073,11295.073,11295.073
34,0.002273837,11168.623,11168.623,5390.69
35,0.002275483,8031.9575,8031.9575,2076.4944
36,0.002277095,3846.924,8934.523,3846.924
37,0.00227867,220.52293,220.52293,4974.315
38,0.002280205,-2074.223,-2074.223,1782.3772
39,0.002281758,-2516.5056,-2516.5056,-2516.5056
40,0.002283331,-788.8781,-788.8781,-415.78693
41,0.002284881,1748.2153,1748.2153,5135.815
42,0.002286449,3443.3303,3492.016,3443.3303
43,0.002288065,3022.152,3022.152,1103.6897
44,0.002289696,1350.4044,1350.4044,2543.4631
45,0.002291329,-10.11504,-10.11504,-10.11504
46,0.002292986,-6.8298464,-6.8298464,-3218.998
47,0.002294612,265.61838,265.61838,144.25996
48,0.002296191,-726.4666,-447.3016,-726.4666
49,0.00229776,-3769.643,-3769.643,-7018.108
50,0.002299326,-7193.2344,-7193.2344,-9504.576
51,0.002300855,-8732.998,-8732.998,-8732.998
52,0.002302375,-7121.626,-7121.626,-8277.396
