,time,spline,prediction,target
0,0.002200913,-3695.2153,-3695.2153,-3695.2153
1,0.002202507,-2585.8574,-2585.8574,-2749.5984
2,0.002204107,-1763.1128,-1763.1128,-2332.5903
3,0.002205715,-1175.3325,-1175.3325,-1175.3325
4,0.002207289,-779.4645,-779.4645,-1130.3247
5,0.002208826,-514.66077,-514.66077,-1239.1216
6,0.002210332,-325.38718,626.8143,-325.38718
7,0.002211849,-163.23674,-163.23674,-16.215294
8,0.002213378,-3.616662,-3.616662,-466.63718
9,0.002214947,178.31596,178.31596,178.31596
10,0.002216516,387.24054,387.24054,-124.44968
11,0.00221809,576.3421,576.3421,-831.57465
12,0.002219708,684.24567,397.0952,684.24567
13,0.002221298,702.55756,702.55756,2031.3395
14,0.002222958,897.95984,897.95984,3504.3943
15,0.002224613,1617.6207,1617.6207,1617.6207
16,0.002226222,2954.4949,2954.4949,1220.8239
17,0.00222783,4253.824,4253.824,3044.7144
18,0.002229425,4657.808,1260.1785,4657.808
19,0.002230976,3710.6,3710.6,3513.7693
20,0.002232509,2212.0664,2212.0664,1811.191
21,0.002234062,1178.1987,1178.1987,1178.1987
22,0.0022356,1337.1329,1337.1329,2668.8552
23,0.002237149,2013.0035,2013.0035,3395.0037
24,0.002238726,2172.7925,1725.3905,2172.7925
25,0.002240342,1037.843,1037.843,992.04254
26,0.002241961,-665.40326,-665.40326,-720.59033
27,0.002243589,-1805.4966,-1805.4966,-1805.4966
28,0.002245177,-1601.7461,-1601.7461,-2529.1685
29,0.002246738,-721.81836,-721.81836,-1599.5592
30,0.002248259,-80.629364,2204.639,-80.629364
31,0.002249783,-257.48178,-257.48178,797.43317
32,0.00225139,-936.1984,-936.1984,-387.32468
33,0.00225297,-1433.5201,-1433.5201,-1433.5201
34,0.002254524,-1246.8171,-1246.8171,-3471.6294
35,0.0022561,-410.8108,-410.8108,-576.3794
36,0.002257681,902.3394,687.7588,902.3394
37,0.002259294,2446.641,2446.641,3077.777
38,0.002260916,3524.144,3524.144,3531.519
39,0.002262537,3337.8162,3337.8162,3337.8162
40,0.0022642,1396.6396,1396.6396,509.0113
41,0.002265886,-1258.708,-1258.708,-2341.8562
42,0.0022675,-3032.9575,-652.757,-3032.9575
43,0.002269034,-3109.7566,-3109.7566,-2294.3716
44,0.002270525,-2165.3623,-2165.3623,-1529.2623
45,0.00227201,-1019.4966,-1019.4966,-1019.4966
46,0.002273527,-266.01425,-266.01425,-2328.6216
47,0.0022751,178.15596,178.15596,-2340.3247
48,0.002276737,608.7613,-1321.1031,608.7613
49,0.002278353,1215.4,1215.4,1437.6598
50,0.002279901,1695.7715,1695.7715,1849.5504
51,0.002281361,1720.7848,1720.7848,1720.7848
52,0.002282818,1141.4901,1141.4901,336.78473
53,0.002284332,244.33885,244.33885,-957.1138
54,0.002285904,-477.23096,854.2207,-477.23096
