,time,spline,prediction,target
0,0.010761086,1675.0006,434.0542,1132.6439
1,0.010762686,1523.3823,1523.3823,1059.4243
2,0.010764275,1309.1272,1309.1272,1309.1272
3,0.010765861,1052.8589,-21.465296,1678.9319
4,0.010767436,781.8244,781.8244,1623.8331
5,0.010769019,519.4966,519.4966,1172.5519
6,0.002200367,-423.71185,-423.71185,-423.71185
7,0.002202058,26.735228,26.735228,-228.30952
8,0.002203771,324.65298,324.65298,249.1006
9,0.002205414,488.11765,488.11765,380.5967
10,0.002206975,556.8078,556.8078,109.99515
11,0.002208506,564.34283,564.34283,564.34283
12,0.002210057,533.4846,321.19437,1315.3545
13,0.002211659,484.31525,484.31525,1235.2529
14,0.002213252,441.86032,441.86032,181.44435
15,0.002214841,429.8077,406.4264,-157.20798
16,0.002216448,472.69437,472.69437,472.69437
17,0.002218062,587.39716,587.39716,645.5342
18,0.002219656,752.38275,467.98798,414.28418
19,0.002221222,938.2559,938.2559,760.31934
20,0.002222794,1122.6147,1122.6147,1478.3389
21,0.002224331,1275.8896,1151.3005,1275.8896
22,0.002225855,1382.4674,1382.4674,162.07327
23,0.002227403,1445.6193,1445.6193,-699.7978
24,0.00222895,1469.6869,920.25714,-475.47357
25,0.002230496,1461.137,1461.137,608.40137
26,0.002232099,1424.6826,1424.6826,1424.6826
27,0.002233776,1360.0039,945.6714,1338.9678
28,0.002235436,1257.0055,1257.0055,953.27637
29,0.002237094,1099.3175,1099.3175,627.2803
30,0.002238718,876.3167,740.9058,464.82718
31,0.002240281,583.48346,583.48346,583.48346
32,0.002241803,219.7141,219.7141,714.59283
33,0.00224333,-195.1201,262.3768,644.0029
34,0.002244893,-633.58624,-633.58624,-66.45407
35,0.002246442,-1043.9214,-1043.9214,-879.90326
36,0.002247929,-1379.8563,-676.1362,-1379.8563
37,0.00224939,-1626.4875,-1626.4875,-1182.9385
38,0.002250885,-1785.0856,-1785.0856,-742.9462
39,0.002252457,-1846.1602,-1251.5208,-752.7431
40,0.002254101,-1790.2646,-1790.2646,-1434.6377
41,0.002255695,-1615.2979,-1615.2979,-1615.2979
42,0.002257252,-1336.6772,-1348.3322,-1457.0868
43,0.002258785,-1007.1398,-1007.1398,-547.07513
44,0.002260295,-685.8152,-685.8152,-143.91891
45,0.002261837,-419.04028,-585.7511,-134.37985
46,0.002263393,-272.41107,-272.41107,-272.41107
47,0.00226496,-286.14297,-286.14297,-217.4072
48,0.002266521,-401.27695,-182.1842,379.26077
49,0.002268074,-533.5621,-533.5621,287.26077
50,0.002269638,-601.31366,-601.31366,-132.98923
51,0.002271202,-519.6611,-516.37555,-519.6611
52,0.002272763,-237.2243,-237.2243,-391.57907
53,0.002274323,170.93086,170.93086,-167.72751
54,0.002275877,597.1678,33.01533,-32.782196
55,0.002277408,933.9838,933.9838,564.95215
56,0.002278937,1087.374,1087.374,1087.374
57,0.0022805,985.1056,831.90466,1941.4756
58,0.002282093,678.0155,678.0155,1930.4209
59,0.002283682,270.15976,270.15976,1014.3311
60,0.00228528,-138.29533,250.00998,-52.731415
61,0.002286932,-447.77435,-447.77435,-447.77435
62,0.0022886,-561.0571,-561.0571,-553.4736
63,0.002290256,-523.4002,-302.35364,-172.0986
64,0.002291883,-418.44894,-418.44894,80.29593
65,0.002293498,-323.03183,-323.03183,286.99124
66,0.002295121,-311.07513,-173.42827,-311.07513
67,0.002296736,-434.90097,-434.90097,-662.89935
68,0.002298372,-659.81494,-659.81494,-1294.7627
69,0.002300001,-921.61707,-451.3393,-2317.0947
70,0.002301629,-1159.3899,-1159.3899,-2752.7393
71,0.002303256,-1311.7627,-1311.7627,-1311.7627
72,0.002304883,-1331.2793,-1138.1232,-249.75874
73,0.002306491,-1227.1729,-1227.1729,84.74905
74,0.002308114,-1018.49817,-1018.49817,-372.6689
75,0.002309769,-720.1697,-645.7205,-509.64545
76,0.002311398,-363.6064,-363.6064,-363.6064
77,0.002313017,28.992025,28.992025,-268.86423
78,0.00231466,431.69687,-17.317913,-495.34467
79,0.002316297,799.7622,799.7622,-474.64938
80,0.00231792,1095.0483,1095.0483,217.46779
81,0.002319533,1283.5967,835.5509,1283.5967
82,0.002321151,1341.1886,1341.1886,1547.7686
83,0.00232273,1281.9938,1281.9938,1442.3818
84,0.002324269,1134.1747,813.28156,1176.4482
85,0.002325794,918.6266,918.6266,936.95215
86,0.002327346,647.65137,647.65137,647.65137
87,0.002328921,338.86078,635.2426,270.99124
88,0.002330539,5.697123,5.697123,-504.18454
89,0.002332148,-322.1049,-322.1049,-1311.8877
90,0.002333722,-620.549,-184.1241,-1423.7588
91,0.00233528,-876.1885,-876.1885,-876.1885
92,0.002336827,-1076.8851,-1076.8851,-357.55563
93,0.002338406,-1227.8406,-809.309,-656.0713
94,0.002339954,-1327.3666,-1327.3666,-723.80566
95,0.002341537,-1384.0432,-1384.0432,-1636.872
96,0.002343172,-1399.5674,-1427.7891,-1399.5674
97,0.002344802,-1377.597,-1377.597,-1208.6844
98,0.002346469,-1327.2487,-1327.2487,-1289.5283
99,0.002348142,-1260.5612,-902.08417,-1597.7235
100,0.002349782,-1191.3514,-1191.3514,-1615.1102
101,0.002351341,-1132.7002,-1132.7002,-1132.7002
