,time,spline,prediction,target
0,0.002200155,-2527.805,-2527.805,-2527.805
1,0.002201775,-6034.8916,-6034.8916,-734.83624
2,0.002203375,-5097.7153,-5097.7153,-2972.4534
3,0.002204949,-1280.1176,-1280.1176,-1280.1176
4,0.002206508,4007.851,4007.851,1495.6793
5,0.002208068,9492.158,9492.158,11622.852
6,0.002209623,13854.07,13826.527,13854.07
7,0.002211204,16220.715,16220.715,10026.1875
8,0.00221282,17141.256,17141.256,16413.797
9,0.002214458,17637.031,17504.17,17637.031
10,0.002216076,18511.004,18511.004,16335.048
11,0.002217673,19414.94,19414.94,20360.766
12,0.002219273,19748.312,18242.87,19748.312
13,0.002220819,19109.553,19109.553,12585.953
14,0.002222301,17824.273,17824.273,12840.586
15,0.002223799,16215.156,17059.707,16215.156
16,0.002225364,14626.323,14626.323,17418.0
17,0.002226984,13710.084,13710.084,13575.1875
18,0.002228608,14233.734,12992.366,14233.734
19,0.002230227,16439.111,16439.111,12193.305
20,0.002231839,18731.064,18731.064,19060.906
21,0.002233395,19139.375,18994.295,19139.375
22,0.002234932,16662.873,16662.873,14685.86
23,0.002236484,12815.991,12815.991,9428.281
24,0.002238046,9850.195,9087.429,9850.195
25,0.002239638,9366.467,9366.467,12910.242
26,0.002241233,10025.303,10025.303,13595.641
27,0.002242733,9727.547,9665.3125,9727.547
28,0.002244212,7242.7964,7242.7964,5939.4453
29,0.002245712,3248.5671,3248.5671,2395.6404
30,0.002247214,-960.7113,565.8133,-960.7113
31,0.002248717,-4301.1294,-4301.1294,-7031.3755
32,0.00225024,-6528.2817,-6528.2817,-9064.47
33,0.002251766,-7530.829,-7449.306,-7530.829
34,0.002253252,-7310.415,-7310.415,-7780.469
35,0.002254744,-6062.7827,-6062.7827,-8130.039
36,0.002256243,-3981.172,-5909.957,-3981.172
37,0.002257732,-1436.1359,-1436.1359,-2220.2659
38,0.002259221,686.9464,686.9464,-1115.2504
39,0.002260697,1356.3981,2174.0295,1356.3981
40,0.002262179,10.28247,10.28247,-2031.0785
