,time,spline,prediction,target
0,0.002200913,13714.829,13714.829,13714.829
1,0.002202507,1519.3007,1519.3007,6436.884
2,0.002204107,-3833.355,-3833.355,-1781.6628
3,0.002205715,-4387.343,-4387.343,-4387.343
4,0.002207289,-2302.149,-2302.149,1348.923
5,0.002208826,303.915,303.915,3043.8997
6,0.002210332,1585.8136,3658.9353,1585.8136
7,0.002211849,415.37497,415.37497,-6396.022
8,0.002213378,-2005.3779,-2005.3779,-8543.593
9,0.002214947,-3809.3193,-2642.914,-3809.3193
10,0.002216516,-3450.4966,-3450.4966,8863.517
11,0.00221809,-1629.4127,-1629.4127,6235.1025
12,0.002219708,434.39175,1783.6382,434.39175
13,0.002221298,1645.4542,1645.4542,-4199.882
14,0.002222958,2341.9941,2341.9941,-183.99107
15,0.002224613,3117.704,2894.229,3117.704
16,0.002226222,4387.029,4387.029,10483.196
17,0.00222783,5800.2188,5800.2188,8711.876
18,0.002229425,6792.118,7238.2095,6792.118
19,0.002230976,6973.0757,6973.0757,4969.868
20,0.002232509,6530.1343,6530.1343,2433.2434
21,0.002234062,5722.3916,6010.91,5722.3916
22,0.0022356,4736.1245,4736.1245,2130.9387
23,0.002237149,3326.2742,3326.2742,-1975.2255
24,0.002238726,1119.3605,2350.0225,1119.3605
25,0.002240342,-1961.073,-1961.073,2615.259
26,0.002241961,-4487.6675,-4487.6675,-3404.4053
27,0.002243589,-4697.108,-4776.7856,-4697.108
28,0.002245177,-1604.0717,-1604.0717,1351.6417
29,0.002246738,3061.7788,3061.7788,5248.79
30,0.002248259,7100.0557,6093.013,7100.0557
31,0.002249783,9107.678,9107.678,4388.29
32,0.00225139,9434.864,9434.864,4177.3525
33,0.00225297,8910.149,9882.687,8910.149
34,0.002254524,8293.678,8293.678,11052.697
35,0.0022561,7456.3584,7456.3584,6251.907
36,0.002257681,6076.6265,6216.0625,6076.6265
37,0.002259294,3942.8232,3942.8232,3500.501
38,0.002260916,1569.4364,1569.4364,1499.0714
39,0.002262537,-344.67078,39.333035,-344.67078
40,0.0022642,-1322.5588,-1322.5588,4577.4463
41,0.002265886,-1614.3691,-1614.3691,2881.7588
42,0.0022675,-1728.9286,-470.63196,-1728.9286
43,0.002269034,-1992.8052,-1992.8052,2226.376
44,0.002270525,-2153.2898,-2153.2898,109.53237
45,0.00227201,-1858.8739,-1094.6421,-1858.8739
46,0.002273527,-827.68823,-827.68823,-447.51453
47,0.0022751,848.5182,848.5182,4060.0012
48,0.002276737,2933.5166,3814.435,2933.5166
49,0.002278353,4960.4785,4960.4785,2888.7666
50,0.002279901,6344.8516,6344.8516,6219.993
51,0.002281361,6653.697,7659.127,6653.697
52,0.002282818,5805.114,5805.114,9026.735
53,0.002284332,4677.24,4677.24,8246.001
54,0.002285904,4642.572,3633.074,4642.572
55,0.002287467,6571.5415,6571.5415,7898.517
56,0.002289051,8769.916,8769.916,10795.282
57,0.002290609,8815.837,9548.886,8815.837
58,0.002292157,5351.0425,5351.0425,2415.337
59,0.002293677,564.18225,564.18225,-709.0614
