,time,prediction,target
0,0.002200139,-1969.3756,-2198.4375
1,0.002201789,-4961.408,-1223.2969
2,0.002203333,-3831.9607,-3918.617
3,0.002204805,-10559.167,-10326.508
4,0.002206322,-4947.6914,-14327.383
5,0.002207932,-5645.3975,-16738.938
6,0.002209557,-5483.9653,-10608.641
7,0.002211155,-9398.588,-9183.047
8,0.002212736,-7041.2705,-6976.1875
9,0.00221432,-5510.902,-5523.7812
10,0.002215953,-5718.921,1835.4218
11,0.002217638,-6014.492,2646.5781
12,0.002219328,-939.03784,-1195.6405
13,0.002221021,-394.50964,-736.8046
14,0.002222694,3509.7637,3160.0703
15,0.002224369,3525.1216,3238.4062
16,0.002225997,-2168.603,-2144.5156
17,0.002227613,-6245.379,-6265.3125
18,0.002229199,-5890.124,-5768.742
19,0.002230778,-8164.8774,-7910.3594
20,0.00223235,-11510.403,-11154.219
21,0.002233915,-14251.215,-13985.5
22,0.002235514,-12579.367,-12244.422
23,0.002237114,-9917.44,-11318.203
24,0.002238688,-10947.861,-10524.055
25,0.002240268,-8348.3,-9527.906
26,0.002241863,-10255.538,-10012.586
27,0.002243405,-9775.6,-9537.195
28,0.002244908,-2302.888,-882.8593
29,0.002246428,-1403.8059,-1583.2577
30,0.002247967,-4302.6206,-5403.664
31,0.002249473,-8144.1064,-7979.054
32,0.002250971,-5756.5083,-5709.0
33,0.002252479,-4975.1826,-4843.461
34,0.002254057,-4017.79,-4098.3594
35,0.002255698,-4589.933,-5333.8516
36,0.002257328,-8145.967,-7985.6406
37,0.002258956,-5600.2188,-5569.422
38,0.002260572,-1030.7368,94.73441
39,0.002262192,-1717.1558,4478.1562
40,0.002263828,3758.9658,3459.6094
41,0.002265467,4650.283,4309.9062
42,0.002267099,2980.0984,2882.5469
43,0.002268693,5412.6484,6799.9688
44,0.002270265,3584.5884,3564.6794
45,0.00227187,9165.148,8610.234
46,0.002273501,6684.713,6280.172
47,0.002275148,4676.7495,4452.414
48,0.0022768,9060.402,8356.453
49,0.002278439,11443.844,11102.203
50,0.002280083,8971.722,8222.039
51,0.002281741,5644.4834,5059.867
52,0.002283411,6271.172,2432.711
53,0.002285094,4096.62,3889.2263
54,0.002286802,3999.602,3538.8125
55,0.002288463,1513.7122,1091.5703
56,0.002290081,-317.10168,37.554726
57,0.002291693,-6401.6216,-6348.0073
58,0.002293289,-4194.4565,-4206.4062
59,0.002294869,-2180.759,531.0078
60,0.002296463,5188.6997,4665.242
61,0.002298057,-1874.8254,-1839.2733
62,0.002299632,-919.2768,-1290.7344
63,0.002301203,6113.6,5732.039
64,0.002302811,10400.021,9804.523
