,time,spline,prediction,target
0,0.002209623,-4580.556,-3475.392,-4580.556
1,0.002211204,-2609.7373,-2609.7373,-3280.3142
2,0.00221282,157.72629,157.72629,-3794.2205
3,0.002214458,2458.9124,1035.0771,2458.9124
4,0.002216076,3188.5566,3188.5566,124.04511
5,0.002217673,2290.8923,2290.8923,-713.64233
6,0.002219273,-105.165825,4153.669,-105.165825
7,0.002220819,-3507.9487,-3507.9487,3424.9746
8,0.002222301,-6621.3867,-6621.3867,1186.5216
9,0.002223799,-8281.127,-7215.742,-8281.127
10,0.002225364,-7509.18,-7509.18,-10112.861
11,0.002226984,-5259.558,-5259.558,-8508.657
12,0.002228608,-3384.5173,-6900.94,-3384.5173
13,0.002230227,-3376.9304,-3376.9304,-3278.3533
14,0.002231839,-5124.819,-5124.819,-2581.236
15,0.002233395,-8022.2207,-6052.3574,-8022.2207
16,0.002234932,-11536.53,-11536.53,-12186.314
17,0.002236484,-14872.5,-14872.5,-15263.493
18,0.002238046,-17038.393,-10914.009,-17038.393
19,0.002239638,-17187.97,-17187.97,-13008.408
20,0.002241233,-15171.809,-15171.809,-11554.126
21,0.002242733,-11391.157,-12688.718,-11391.157
22,0.002244212,-6236.967,-6236.967,-9956.783
23,0.002245712,-1065.2113,-1065.2113,-3062.7986
24,0.002247214,2250.6934,-3264.513,2250.6934
25,0.002248717,2518.4048,2518.4048,-599.91583
26,0.00225024,1065.7029,1065.7029,-1634.9158
27,0.002251766,-64.48614,2379.696,-64.48614
28,0.002253252,616.68646,616.68646,2166.2717
29,0.002254744,2439.112,2439.112,3927.5215
30,0.002256243,4250.0527,1870.1813,4250.0527
31,0.002257732,5062.8657,5062.8657,1537.5061
32,0.002259221,4710.1567,4710.1567,2472.5295
33,0.002260697,3223.6855,5795.8047,3223.6855
34,0.002262179,911.0203,911.0203,10284.193
35,0.00226369,-696.52655,-696.52655,7351.3647
36,0.002265247,492.24826,-20.120224,492.24826
37,0.002266825,5798.8213,5798.8213,2810.6467
38,0.002268403,12380.716,12380.716,8936.803
39,0.002269936,16328.881,8686.054,16328.881
40,0.002271426,15402.413,15402.413,7998.2715
41,0.002272961,11080.576,11080.576,6529.49
42,0.002274543,5814.045,10167.649,5814.045
43,0.00227614,2065.3154,2065.3154,4436.1543
44,0.002277727,325.89648,325.89648,3934.9592
45,0.002279338,513.0451,358.16104,513.0451
46,0.002280925,2363.0474,2363.0474,4874.8105
47,0.002282449,4760.7847,4760.7847,8851.186
48,0.002283964,6686.5215,5429.8994,6686.5215
49,0.00228548,7331.802,7331.802,5075.287
50,0.002287047,6705.109,6705.109,689.4357
51,0.002288673,4975.6855,6720.092,4975.6855
52,0.002290254,2645.751,2645.751,8648.396
53,0.002291807,501.81555,501.81555,3628.428
54,0.002293354,-652.03296,1419.9388,-652.03296
55,0.002294901,-357.22766,-357.22766,-2144.408
56,0.002296469,410.28168,410.28168,1142.2404
57,0.002298026,261.9123,1572.334,261.9123
58,0.002299601,-1717.3335,-1717.3335,-311.0877
59,0.002301194,-4490.0933,-4490.0933,-3743.111
60,0.002302784,-6415.8926,-3629.8274,-6415.8926
61,0.002304373,-6361.115,-6361.115,-6892.4
62,0.002305955,-5106.016,-5106.016,-6021.9233
63,0.002307571,-3871.2673,-6510.026,-3871.2673
64,0.00230921,-3747.9817,-3747.9817,-5430.76
65,0.002310828,-4811.199,-4811.199,-8606.618
66,0.002312482,-6929.353,-5016.683,-6929.353
67,0.002314156,-9746.798,-9746.798,-944.4939
68,0.002315807,-12047.318,-12047.318,-2935.5798
69,0.002317435,-12564.057,-9514.625,-12564.057
70,0.002319028,-10610.514,-10610.514,-12610.212
71,0.002320617,-7254.948,-7254.948,-7230.1504
72,0.002322185,-3987.8845,-7889.677,-3987.8845
73,0.002323741,-1922.9293,-1922.9293,-1422.6501
74,0.002325342,-1138.16,-1138.16,-3720.4702
75,0.002326981,-1583.1892,-2058.8347,-1583.1892
76,0.002328596,-2949.7346,-2949.7346,-264.5877
77,0.002330167,-4309.463,-4309.463,-4938.002
78,0.002331731,-4730.0405,-3423.2683,-4730.0405
79,0.002333297,-3586.3916,-3586.3916,-2864.0955
80,0.002334883,-1499.9357,-1499.9357,-259.57208
81,0.002336466,512.6154,-942.41895,512.6154
82,0.002338054,1641.3232,1641.3232,-900.04083
83,0.002339649,1814.5364,1814.5364,-1933.3142
84,0.002341253,1147.1935,2717.5195,1147.1935
85,0.002342848,-62.673717,-62.673717,2088.0217
86,0.002344395,-870.86426,-870.86426,3210.5527
87,0.002345948,-299.8299,958.7018,-299.8299
88,0.00234752,2182.4612,2182.4612,287.69354
89,0.002349055,4868.518,4868.518,901.2169
