,time,spline,prediction,target
0,0.002200155,134.42735,134.42735,134.42735
1,0.002201775,-138.36813,-138.36813,50.11095
2,0.002203375,-236.93465,-236.93465,-192.70935
3,0.002204949,-229.87341,-229.87341,-229.87341
4,0.002206508,-180.68962,-180.68962,-173.4789
5,0.002208068,-148.23093,-148.23093,-313.6
6,0.002209623,-190.84218,36.451824,-190.84218
7,0.002211204,-331.77457,-331.77457,-210.4906
8,0.00221282,-437.43427,-437.43427,109.978134
9,0.002214458,-316.52185,-316.52185,-316.52185
10,0.002216076,129.79144,129.79144,9.942981
11,0.002217673,650.4244,650.4244,504.7594
12,0.002219273,931.10315,47.5296,931.10315
13,0.002220819,768.726,768.726,663.2438
14,0.002222301,386.88943,386.88943,701.23206
15,0.002223799,37.290638,37.290638,37.290638
16,0.002225364,-77.20944,-77.20944,-117.88514
17,0.002226984,13.729129,13.729129,21.681261
18,0.002228608,182.88048,102.966064,182.88048
19,0.002230227,317.1757,317.1757,875.75934
20,0.002231839,404.63837,404.63837,840.2203
21,0.002233395,457.08752,457.08752,457.08752
22,0.002234932,476.64807,476.64807,174.34142
23,0.002236484,410.7829,410.7829,265.16956
24,0.002238046,190.46251,59.606606,190.46251
25,0.002239638,-214.87668,-214.87668,1.2476687
26,0.002241233,-633.4038,-633.4038,-661.4867
27,0.002242733,-842.08435,-842.08435,-842.08435
28,0.002244212,-748.81055,-748.81055,-1016.39294
29,0.002245712,-469.93314,-469.93314,-927.72107
30,0.002247214,-186.19765,-1.2673234,-186.19765
31,0.002248717,-43.89779,-43.89779,283.73203
32,0.00225024,-43.876648,-43.876648,126.8922
33,0.002251766,-151.18983,-151.18983,-151.18983
34,0.002253252,-312.93185,-312.93185,-884.7328
35,0.002254744,-448.64374,-448.64374,-596.89294
36,0.002256243,-464.45544,100.177956,-464.45544
37,0.002257732,-301.18753,-301.18753,-409.50232
38,0.002259221,-35.04554,-35.04554,-154.0414
39,0.002260697,222.85313,222.85313,222.85313
40,0.002262179,378.08325,378.08325,776.3102
41,0.00226369,368.12195,368.12195,681.9703
42,0.002265247,124.96251,101.22436,124.96251
43,0.002266825,-354.2395,-354.2395,-475.06482
44,0.002268403,-793.8193,-793.8193,-1006.4867
45,0.002269936,-859.5414,-859.5414,-859.5414
46,0.002271426,-391.6972,-391.6972,-258.4359
47,0.002272961,364.8834,364.8834,252.61095
48,0.002274543,1014.71643,33.48274,1014.71643
49,0.00227614,1199.6045,1199.6045,1107.2438
50,0.002277727,994.3706,994.3706,847.6265
51,0.002279338,578.36487,578.36487,578.36487
52,0.002280925,136.75224,136.75224,186.56407
53,0.002282449,-205.86797,-205.86797,-267.9828
54,0.002283964,-373.44763,78.719696,-373.44763
55,0.00228548,-308.30334,-308.30334,56.181263
56,0.002287047,-69.32544,-69.32544,21.04845
57,0.002288673,245.46642,245.46642,245.46642
58,0.002290254,497.87595,497.87595,88.55627
59,0.002291807,570.9534,570.9534,222.86487
60,0.002293354,349.5289,14.227158,349.5289
61,0.002294901,-203.1923,-203.1923,41.978138
62,0.002296469,-798.5686,-798.5686,-717.1898
63,0.002298026,-1037.6625,-1037.6625,-1037.6625
64,0.002299601,-666.9634,-666.9634,-1167.4437
65,0.002301194,30.101017,30.101017,-321.0609
66,0.002302784,600.75934,38.522015,600.75934
67,0.002304373,714.2576,714.2576,1098.5719
68,0.002305955,507.62296,507.62296,617.8219
69,0.002307571,226.23595,226.23595,226.23595
70,0.00230921,80.200775,80.200775,-291.82654
71,0.002310828,58.991634,58.991634,-279.06482
72,0.002312482,90.53282,-15.072283,90.53282
73,0.002314156,107.14193,107.14193,175.77501
74,0.002315807,60.70232,60.70232,406.0016
75,0.002317435,-87.1117,-87.1117,-87.1117
76,0.002319028,-336.38058,-336.38058,-302.58044
77,0.002320617,-565.54535,-565.54535,-545.45544
78,0.002322185,-622.1234,-37.52523,-622.1234
79,0.002323741,-422.29907,-422.29907,-588.71716
80,0.002325342,-99.674644,-99.674644,-345.15466
81,0.002326981,130.15392,130.15392,130.15392
82,0.002328596,110.82626,110.82626,162.23595
83,0.002330167,14.017458,14.017458,-91.2914
84,0.002331731,64.99376,33.226135,64.99376
85,0.002333297,404.03214,404.03214,462.28284
86,0.002334883,854.32056,854.32056,1001.48596
87,0.002336466,1140.1227,1140.1227,1140.1227
88,0.002338054,1067.6313,1067.6313,1228.6968
89,0.002339649,751.2446,751.2446,814.16174
90,0.002341253,386.86877,1.0726534,386.86877
91,0.002342848,142.05675,142.05675,2.0523562
92,0.002344395,35.892307,35.892307,-165.7914
93,0.002345948,44.599228,44.599228,44.599228
94,0.00234752,143.76036,143.76036,240.2711
95,0.002349055,255.01483,255.01483,432.44687
96,0.002350508,297.7828,54.93206,297.7828
97,0.002351963,232.18086,232.18086,1.4117311
98,0.002353468,105.03553,105.03553,73.04845
99,0.00235502,-1.5960813,-1.5960813,-1.5960813
100,0.002356561,-20.905329,-20.905329,-7.6663938
101,0.002358076,-2.865397,-2.865397,-126.27968
102,0.002359644,-23.486708,65.29229,-23.486708
103,0.002361286,-135.50755,-135.50755,383.0094
104,0.002362912,-235.40497,-235.40497,102.8258
105,0.002364528,-186.1117,-186.1117,-186.1117
106,0.002366128,93.21515,93.21515,14.8921995
107,0.002367731,487.69116,487.69116,382.88437
108,0.002369329,830.60706,32.931423,830.60706
109,0.002370899,986.1319,986.1319,1052.5875
110,0.002372496,935.71466,935.71466,938.2515
111,0.002374084,680.73206,680.73206,680.73206
112,0.002375657,259.93454,259.93454,164.34923
113,0.002377234,-178.18977,-178.18977,-423.46326
114,0.002378833,-452.76013,58.058628,-452.76013
115,0.002380382,-426.98767,-426.98767,-390.76404
116,0.002381906,-191.31738,-191.31738,-175.13124
117,0.002383421,133.7086,133.7086,133.7086
118,0.002384958,451.25668,451.25668,492.275
119,0.002386491,702.9756,702.9756,987.4195
120,0.002388028,850.01715,82.001495,850.01715
121,0.002389588,868.069,868.069,920.4391
122,0.002391221,797.82007,797.82007,850.54846
123,0.002392848,711.0406,711.0406,711.0406
124,0.002394409,646.7917,646.7917,379.94687
125,0.002395959,496.13983,496.13983,397.5133
126,0.002397517,117.290634,64.64868,117.290634
127,0.002399106,-559.3802,-559.3802,-432.76016
128,0.002400721,-1235.9348,-1235.9348,-1004.1859
129,0.002402301,-1493.5844,-1493.5844,-1493.5844
130,0.00240386,-1102.6426,-1102.6426,-935.92035
131,0.002405394,-341.2981,-341.2981,-195.42812
132,0.002406893,411.50156,125.68138,411.50156
133,0.002408389,881.5761,881.5761,1099.611
134,0.002409948,989.84204,989.84204,1439.6499
135,0.002411534,671.7008,671.7008,671.7008
136,0.002413139,-39.921528,-39.921528,-309.307
137,0.002414732,-769.2554,-769.2554,-977.6
138,0.002416348,-1079.3656,75.801094,-1079.3656
139,0.002417946,-688.02313,-688.02313,-609.83044
140,0.002419585,-21.84745,-21.84745,186.44298
141,0.002421225,259.20078,259.20078,259.20078
142,0.002422837,-268.09766,-268.09766,-16.994518
143,0.002424421,-1147.5471,-1147.5471,-1104.0453
144,0.002425958,-1762.5687,107.62758,-1762.5687
145,0.002427521,-1714.4535,-1714.4535,-1873.8187
146,0.002429128,-1120.7339,-1120.7339,-1142.4242
147,0.002430729,-301.41248,-301.41248,-301.41248
148,0.00243232,459.8682,459.8682,536.15393
149,0.002433845,1035.7517,1035.7517,979.5289
150,0.002435364,1397.0992,81.34151,1397.0992
151,0.002436897,1512.8499,1512.8499,1197.0835
152,0.002438398,1459.6946,1459.6946,1257.6344
153,0.002439936,1340.4624,1340.4624,1340.4624
154,0.002441509,1227.158,1227.158,939.17346
155,0.002443059,1063.3093,1063.3093,996.63824
156,0.002444637,746.15784,70.57482,746.15784
157,0.002446219,237.68065,237.68065,99.665634
158,0.002447741,-244.00955,-244.00955,-309.3617
159,0.002449234,-480.88513,-480.88513,-480.88513
160,0.002450733,-337.95822,-337.95822,-164.57265
161,0.002452284,35.05733,35.05733,-22.986706
162,0.002453806,367.33752,101.60581,367.33752
163,0.002455269,473.18414,473.18414,587.068
164,0.002456722,420.39752,420.39752,452.79456
165,0.002458198,314.19687,314.19687,314.19687
166,0.00245973,236.3347,236.3347,301.9
167,0.002461254,168.69257,168.69257,16.501574
168,0.00246281,57.153915,99.0381,57.153915
169,0.002464401,-130.39355,-130.39355,-244.86562
170,0.002466012,-318.9878,-318.9878,-432.9828
171,0.002467626,-401.25232,-401.25232,-401.25232
172,0.002469234,-315.35553,-315.35553,5.0875125
173,0.002470789,-178.72887,-178.72887,-119.51795
174,0.002472355,-132.97108,39.6568,-132.97108
175,0.002473875,-257.0454,-257.0454,-440.84216
176,0.002475342,-395.48404,-395.48404,-434.43982
177,0.002476804,-365.975,-365.975,-365.975
178,0.002478302,-39.277046,-39.277046,-115.74061
179,0.002479827,450.49268,450.49268,20.888294
180,0.002481341,872.7867,58.993816,872.7867
181,0.002482891,1054.9928,1054.9928,1505.978
182,0.002484462,978.5692,978.5692,1355.2867
183,0.002486066,674.72034,674.72034,674.72034
184,0.002487688,198.962,198.962,-549.7328
185,0.002489339,-325.9796,-325.9796,-623.5609
186,0.002490978,-737.2562,16.01333,-737.2562
187,0.002492611,-912.95233,-912.95233,-798.6664
188,0.002494244,-827.35,-827.35,-737.77966
189,0.00249587,-479.182,-479.182,-479.182
190,0.002497477,74.08883,74.08883,-249.57654
191,0.002499065,574.46936,574.46936,439.06018
192,0.002500657,730.2008,100.03631,730.2008
193,0.00250227,348.7572,348.7572,686.6461
194,0.002503877,-282.00626,-282.00626,1.3492311
195,0.002505486,-756.4789,-756.4789,-756.4789
196,0.002507078,-783.8141,-783.8141,-725.6625
197,0.002508641,-542.9578,-542.9578,-645.20544
198,0.002510153,-308.13904,86.3452,-308.13904
199,0.002511669,-247.27428,-247.27428,-248.6703
200,0.002513225,-267.7027,-267.7027,-290.0609
201,0.002514799,-198.02577,-198.02577,-198.02577
202,0.002516331,71.66446,71.66446,-20.994516
203,0.002517862,427.96817,427.96817,260.068
204,0.002519395,702.7438,111.89021,702.7438
205,0.002520871,765.4352,765.4352,872.818
206,0.002522358,643.535,643.535,312.17343
207,0.002523908,373.43515,373.43515,373.43515
208,0.002525475,24.04048,24.04048,-222.33046
209,0.002527069,-275.75952,-275.75952,-438.90857
210,0.002528659,-368.26404,106.642235,-368.26404
211,0.00253023,-167.09131,-167.09131,515.4938
212,0.002531791,178.89204,178.89204,215.63048
213,0.002533344,470.9508,470.9508,470.9508
214,0.00253492,568.63995,568.63995,239.61876
215,0.002536515,538.4388,538.4388,309.15393
216,0.002538131,510.29062,58.186493,510.29062
217,0.002539772,571.7301,571.7301,188.4547
218,0.002541417,600.89343,600.89343,502.00937
219,0.002543066,419.74768,419.74768,419.74768
220,0.002544692,-56.13753,-56.13753,-303.90076
221,0.002546324,-586.3626,-586.3626,-674.3031
222,0.002547979,-840.6195,30.198751,-840.6195
223,0.00254962,-577.98254,-577.98254,-422.61954
224,0.002551201,-8.920968,-8.920968,134.4586
225,0.002552741,596.8375,596.8375,596.8375
226,0.002554293,1055.334,1055.334,1124.1733
227,0.00255592,1318.9241,1318.9241,1426.8569
228,0.002557564,1346.2828,100.49036,1346.2828
229,0.002559188,1138.2755,1138.2755,1188.732
230,0.002560774,764.7658,764.7658,928.39996
231,0.002562318,303.57968,303.57968,303.57968
232,0.002563855,-189.62779,-189.62779,-141.4164
233,0.002565427,-666.935,-666.935,-468.6156
234,0.002566999,-1053.6234,148.48138,-1053.6234
235,0.002568513,-1290.5454,-1290.5454,-1065.4281
236,0.002570015,-1384.9166,-1384.9166,-1301.4515
237,0.00257152,-1339.6702,-1339.6702,-1339.6702
238,0.002573055,-1157.5161,-1157.5161,-1065.6703
239,0.002574632,-867.0165,-867.0165,-930.2016
240,0.002576279,-504.37732,87.31402,-504.37732
241,0.002577913,-158.67285,-158.67285,1.0445437
242,0.002579448,16.994635,16.994635,-46.68983
243,0.002580961,-93.56873,-93.56873,-93.56873
244,0.002582473,-537.50116,-537.50116,-296.65857
245,0.002583935,-1011.35236,-1011.35236,-626.6937
246,0.002585389,-1185.6976,55.18471,-1185.6976
247,0.002586894,-819.778,-819.778,-1534.9867
248,0.002588448,-118.368256,-118.368256,-1139.0023
249,0.00258997,505.72815,505.72815,505.72815
250,0.002591482,756.39465,756.39465,1255.7867
251,0.002592995,602.69824,602.69824,634.1226
252,0.002594506,76.603134,83.804214,76.603134
253,0.002596024,-727.64,-727.64,-105.34998
254,0.002597551,-1441.1458,-1441.1458,-1171.6976
255,0.002599027,-1621.4945,-1621.4945,-1621.4945
256,0.002600492,-1048.0587,-1048.0587,-419.79138
257,0.002601996,-25.302433,-25.302433,411.29843
258,0.002603495,927.22815,63.494167,927.22815
259,0.002604932,1399.1527,1399.1527,1325.1265
260,0.002606343,1446.5935,1446.5935,1663.1227
261,0.002607748,1179.5015,1179.5015,1179.5015
262,0.002609175,685.90796,685.90796,425.5914
263,0.002610673,43.597054,43.597054,-341.92032
264,0.002612252,-634.1859,85.26244,-634.1859
265,0.00261388,-1212.9705,-1212.9705,-1032.0375
266,0.002615544,-1682.5524,-1682.5524,-1770.3187
267,0.002617217,-2068.1428,-2068.1428,-2068.1428
268,0.002618863,-2359.4336,-2359.4336,-2648.592
269,0.002620475,-2400.2407,-2400.2407,-3188.526
270,0.002622059,-2015.3383,32.07947,-2015.3383
271,0.002623669,-1101.5273,-1101.5273,-998.8539
272,0.002625271,26.692533,26.692533,350.02893
273,0.00262688,975.09924,975.09924,975.09924
274,0.00262847,1427.5438,1427.5438,382.85312
275,0.002630063,1474.0262,1474.0262,1099.107
276,0.002631657,1284.9,23.773727,1284.9
277,0.002633219,1020.5412,1020.5412,1615.5835
278,0.00263477,761.36633,761.36633,1164.7008
279,0.002636326,568.4039,568.4039,568.4039
280,0.002637906,478.149,478.149,464.3375
