,time,spline,prediction,target
0,0.0,37.036842,37.036842,37.036842
1,2e-08,36.3201,36.3201,35.88841
2,4e-08,35.270363,35.270363,34.620583
3,7e-08,33.242413,33.242413,33.242413
4,9e-08,31.702192,31.702192,31.761452
5,1.1e-07,30.10257,30.10257,30.18528
6,1.3e-07,28.521708,32.102547,28.521708
7,1.5e-07,27.009012,27.009012,26.773415
8,1.7e-07,25.498863,25.498863,24.938944
9,2e-07,23.03196,23.03196,23.03196
10,2.2e-07,21.136866,21.136866,21.039284
11,2.4e-07,19.043585,19.043585,18.958717
12,2.6e-07,16.78733,22.83416,16.78733
13,2.8e-07,14.416501,14.416501,14.526343
14,3e-07,12.032212,12.032212,12.177467
15,3.2e-07,9.748756,9.748756,9.748756
16,3.5e-07,6.600959,6.600959,7.2604747
17,3.7e-07,4.4827266,4.4827266,4.727271
18,3.9e-07,2.1467047,10.364893,2.1467047
19,4.1e-07,-0.51013875,-0.51013875,-0.5080805
20,4.3e-07,-3.310297,-3.310297,-3.2409906
21,4.5e-07,-6.0061274,-6.0061274,-6.0061274
22,4.8e-07,-9.565612,-9.565612,-8.767359
23,5e-07,-11.835739,-11.835739,-11.520044
24,5.2e-07,-14.259546,-4.749098,-14.259546
25,5.4e-07,-16.964151,-16.964151,-16.999048
26,5.6e-07,-19.7761,-19.7761,-19.736353
27,5.8e-07,-22.446802,-22.446802,-22.446802
28,6e-07,-24.799967,-24.799967,-25.10061
29,6.3e-07,-28.003952,-28.003952,-27.682642
30,6.5e-07,-30.192896,-20.862923,-30.192896
31,6.7e-07,-32.57357,-32.57357,-32.627712
32,6.9e-07,-34.997513,-34.997513,-34.980003
33,7.1e-07,-37.249535,-37.249535,-37.249535
34,7.3e-07,-39.173416,-39.173416,-39.385525
35,7.6e-07,-41.63657,-41.63657,-41.368187
36,7.8e-07,-43.198997,-35.750137,-43.198997
37,8e-07,-44.813377,-44.813377,-44.884304
38,8.2e-07,-46.38825,-46.38825,-46.413357
39,8.4e-07,-47.78616,-47.78616,-47.78616
40,8.6e-07,-48.90642,-48.90642,-48.994164
41,8.8e-07,-49.795425,-49.795425,-50.01492
42,9.1e-07,-50.877224,-47.736477,-50.877224
43,9.3e-07,-51.52987,-51.52987,-51.58816
44,9.5e-07,-52.110226,-52.110226,-52.152122
45,9.7e-07,-52.569363,-52.569363,-52.569363
46,9.9e-07,-52.867104,-52.867104,-52.841335
47,1.01e-06,-52.99825,-52.99825,-52.976345
48,1.03e-06,-52.966335,-54.33854,-52.966335
49,1.05e-06,-52.781166,-52.781166,-52.810574
50,1.07e-06,-52.47759,-52.47759,-52.515648
51,1.09e-06,-52.096706,-52.096706,-52.096706
52,1.12e-06,-51.41893,-51.41893,-51.556423
53,1.14e-06,-50.83797,-50.83797,-50.88992
54,1.16e-06,-50.094997,-54.301323,-50.094997
55,1.18e-06,-49.163925,-49.163925,-49.17825
56,1.2e-06,-48.115562,-48.115562,-48.1553
57,1.22e-06,-47.044945,-47.044945,-47.044945
58,1.24e-06,-46.020634,-46.020634,-45.866478
59,1.26e-06,-45.00524,-45.00524,-44.63406
60,1.29e-06,-43.359154,-49.199947,-43.359154
61,1.31e-06,-42.106697,-42.106697,-42.054955
62,1.33e-06,-40.759983,-40.759983,-40.727806
63,1.35e-06,-39.375515,-39.375515,-39.375515
64,1.37e-06,-37.99293,-37.99293,-37.992947
65,1.39e-06,-36.584465,-36.584465,-36.57424
66,1.41e-06,-35.10549,-41.11309,-35.10549
67,1.43e-06,-33.531284,-33.531284,-33.57937
68,1.45e-06,-31.916624,-31.916624,-31.99148
69,1.47e-06,-30.336208,-30.336208,-30.336208
70,1.5e-06,-28.095383,-28.095383,-28.607937
71,1.52e-06,-26.57246,-26.57246,-26.801538
72,1.54e-06,-24.91067,-31.317434,-24.91067
73,1.56e-06,-23.030642,-23.030642,-22.92776
74,1.58e-06,-20.931986,-20.931986,-20.840845
75,1.6e-06,-18.634056,-18.634056,-18.634056
76,1.62e-06,-16.169527,-16.169527,-16.287378
77,1.64e-06,-13.62432,-13.62432,-13.781031
78,1.66e-06,-11.097681,-19.652424,-11.097681
79,1.68e-06,-8.642535,-8.642535,-8.222437
80,1.7e-06,-6.1265454,-6.1265454,-5.1413813
