,time,spline,prediction,target
0,0.0,-4.5639025e-17,-4.5639025e-17,-4.5639025e-17
1,0.01,0.1382728,0.1382728,0.13825314
2,0.02,0.27433243,0.27433243,0.27431914
3,0.03,0.40765426,0.40765426,0.40765426
4,0.04,0.5377136,0.5377136,0.5377213
5,0.05,0.6639857,0.6639857,0.6639913
6,0.06,0.7859461,0.51912385,0.7859461
7,0.07,0.9030784,0.9030784,0.90308005
8,0.08,1.0149004,1.0149004,1.0149022
9,0.09,1.1209384,0.88350886,1.1209384
10,0.1,1.2207285,1.2207285,1.2207329
11,0.11,1.3138465,1.3138465,1.3138504
12,0.12,1.399878,1.1863514,1.399878
13,0.13,1.4784217,1.4784217,1.4784263
14,0.14,1.5491273,1.5491273,1.5491319
15,0.15,1.6116579,1.4192947,1.6116579
16,0.16,1.6656904,1.6656904,1.6656958
17,0.17,1.7109622,1.7109622,1.7109673
18,0.18,1.7472249,1.6260397,1.7472249
19,0.19,1.7742466,1.7742466,1.7742523
20,0.2,1.7918614,1.7918614,1.791867
21,0.21,1.79992,1.8038496,1.79992
22,0.22,1.7982901,1.7982901,1.7982962
23,0.23,1.7869104,1.7869104,1.7869164
24,0.24,1.7657357,1.9353154,1.7657357
25,0.25,1.7347401,1.7347401,1.7347461
26,0.26,1.6939688,1.6939688,1.6939747
27,0.27,1.6434847,1.8815712,1.6434847
28,0.28,1.5833694,1.5833694,1.5833751
29,0.29,1.5137746,1.5137746,1.5137806
30,0.3,1.4348706,1.7185087,1.4348706
31,0.31,1.346844,1.346844,1.3468494
32,0.32,1.2499498,1.2499498,1.2499553
33,0.33,1.1444598,1.5102223,1.1444598
34,0.34,1.0306616,1.0306616,1.0306665
35,0.35,0.908905,0.908905,0.9089101
36,0.36,0.7795557,1.2749386,0.7795557
37,0.37,0.6429928,0.6429928,0.6429969
38,0.38,0.49965048,0.49965048,0.49965483
39,0.39,0.3499764,0.9614232,0.3499764
40,0.4,0.19442968,0.19442968,0.19443288
41,0.41,0.03351465,0.03351465,0.033518158
42,0.42,-0.13225308,0.5387611,-0.13225308
43,0.43,-0.30234933,-0.30234933,-0.30234712
44,0.44,-0.4762158,-0.4762158,-0.47621328
45,0.45,-0.65328574,0.10532796,-0.65328574
46,0.46,-0.83298683,-0.83298683,-0.8329857
47,0.47,-1.014725,-1.014725,-1.0147235
48,0.48,-1.1979009,-0.33740473,-1.1979009
49,0.49,-1.3819125,-1.3819125,-1.3819126
50,0.5,-1.5661496,-1.5661496,-1.5661492
51,0.51,-1.7499996,-0.7983641,-1.7499996
52,0.52,-1.932851,-1.932851,-1.932852
53,0.53,-2.1140969,-2.1140969,-2.1140976
54,0.54,-2.2931318,-1.2393847,-2.2931318
55,0.55,-2.4693546,-2.4693546,-2.469357
56,0.56,-2.642182,-2.642182,-2.642184
57,0.57,-2.8110354,-1.6085494,-2.8110354
58,0.58,-2.9753432,-2.9753432,-2.9753463
59,0.59,-3.1345649,-3.1345649,-3.134568
60,0.6,-3.2881675,-1.9926431,-3.2881675
61,0.61,-3.435629,-3.435629,-3.4356327
62,0.62,-3.5764678,-3.5764678,-3.5764718
63,0.63,-3.7102149,-2.5075414,-3.7102149
64,0.64,-3.8364131,-3.8364131,-3.8364184
65,0.65,-3.9546583,-3.9546583,-3.954663
66,0.66,-4.064558,-2.9971,-4.064558
67,0.67,-4.165736,-4.165736,-4.1657414
68,0.68,-4.2578764,-4.2578764,-4.257882
69,0.69,-4.340678,-3.3437707,-4.340678
70,0.7,-4.4138575,-4.4138575,-4.4138637
71,0.71,-4.477196,-4.477196,-4.4772024
72,0.72,-4.5304947,-3.559551,-4.5304947
73,0.73,-4.573569,-4.573569,-4.5735745
74,0.74,-4.606306,-4.606306,-4.6063123
75,0.75,-4.6286125,-3.6780849,-4.6286125
76,0.76,-4.6404114,-4.6404114,-4.640417
77,0.77,-4.6416974,-4.6416974,-4.6417036
78,0.78,-4.632485,-3.7385259,-4.632485
79,0.79,-4.6128044,-4.6128044,-4.61281
80,0.8,-4.58276,-4.58276,-4.5827656
81,0.81,-4.54247,-3.7529697,-4.54247
82,0.82,-4.4920735,-4.4920735,-4.4920793
83,0.83,-4.431775,-4.431775,-4.431781
84,0.84,-4.361797,-3.7089887,-4.361797
85,0.85,-4.2823763,-4.2823763,-4.282381
86,0.86,-4.193814,-4.193814,-4.193819
87,0.87,-4.0964246,-3.6202562,-4.0964246
88,0.88,-3.9905372,-3.9905372,-3.9905412
89,0.89,-3.8765352,-3.8765352,-3.8765397
90,0.9,-3.7548156,-3.4527764,-3.7548156
91,0.91,-3.6257865,-3.6257865,-3.6257894
92,0.92,-3.4899004,-3.4899004,-3.4899035
93,0.93,-3.347621,-3.1739883,-3.347621
94,0.94,-3.1994214,-3.1994214,-3.1994236
95,0.95,-3.0458071,-3.0458071,-3.0458097
96,0.96,-2.887293,-2.7471669,-2.887293
97,0.97,-2.7243986,-2.7243986,-2.7243996
98,0.98,-2.5576649,-2.5576649,-2.5576663
99,0.99,-2.387639,-2.252675,-2.387639
100,1.0,-2.2148695,-2.2148695,-2.2148695
101,1.01,-2.0399137,-2.0399137,-2.0399141
102,1.02,-1.8633316,-1.7747642,-1.8633316
103,1.03,-1.6856812,-1.6856812,-1.68568
104,1.04,-1.5075169,-1.5075169,-1.5075161
105,1.05,-1.3293917,-1.4281102,-1.3293917
106,1.06,-1.1518546,-1.1518546,-1.1518526
107,1.07,-0.9754373,-0.9754373,-0.9754355
108,1.08,-0.800667,-1.0496417,-0.800667
109,1.09,-0.62806404,-0.62806404,-0.62806094
110,1.1,-0.4581193,-0.4581193,-0.4581165
111,1.11,-0.29131666,-0.60972327,-0.29131666
112,1.12,-0.12812982,-0.12812982,-0.12812592
113,1.13,0.031007396,0.031007396,0.031011047
114,1.14,0.18567124,-0.16205019,0.18567124
115,1.15,0.3354503,0.3354503,0.3354549
116,1.16,0.47998247,0.47998247,0.47998688
117,1.17,0.61891806,0.25235188,0.61891806
118,1.18,0.7519214,0.7519214,0.7519266
119,1.19,0.8787141,0.8787141,0.878719
120,1.2,0.9990313,0.675305,0.9990313
121,1.21,1.1126244,1.1126244,1.1126299
122,1.22,1.2193067,1.2193067,1.2193121
123,1.23,1.3189071,1.0601276,1.3189071
124,1.24,1.4112709,1.4112709,1.4112765
125,1.25,1.4963086,1.4963086,1.496314
126,1.26,1.5739472,1.3369074,1.5739472
127,1.27,1.6441301,1.6441301,1.6441356
128,1.28,1.7068671,1.7068671,1.7068726
129,1.29,1.7621839,1.5629004,1.7621839
130,1.3,1.8101228,1.8101228,1.8101282
131,1.31,1.8507905,1.8507905,1.8507957
132,1.32,1.8843089,1.7694327,1.8843089
133,1.33,1.9108163,1.9108163,1.910821
134,1.34,1.93051,1.93051,1.930515
135,1.35,1.9436035,1.9512331,1.9436035
136,1.36,1.9503231,1.9503231,1.9503272
137,1.37,1.9509491,1.9509491,1.9509535
138,1.38,1.945776,2.092191,1.945776
139,1.39,1.935109,1.935109,1.9351122
140,1.4,1.9192992,1.9192992,1.9193028
141,1.41,1.89871,2.1337829,1.89871
142,1.42,1.8737125,1.8737125,1.873715
143,1.43,1.8447149,1.8447149,1.8447176
144,1.44,1.8121337,2.045185,1.8121337
145,1.45,1.7763916,1.7763916,1.7763932
146,1.46,1.7379366,1.7379366,1.7379384
147,1.47,1.6972224,1.9257464,1.6972224
148,1.48,1.6547061,1.6547061,1.6547064
149,1.49,1.6108574,1.6108574,1.6108581
150,1.5,1.5661492,1.8031117,1.5661492
151,1.51,1.5210546,1.5210546,1.521054
152,1.52,1.4760468,1.4760468,1.4760464
153,1.53,1.4315989,1.6877038,1.4315989
154,1.54,1.388181,1.388181,1.3881792
155,1.55,1.346251,1.346251,1.3462496
156,1.56,1.3062636,1.5836918,1.3062636
157,1.57,1.2686675,1.2686675,1.2686647
158,1.58,1.2338867,1.2338867,1.2338843
159,1.59,1.2023396,1.4985292,1.2023396
160,1.6,1.1744354,1.1744354,1.1744318
161,1.61,1.1505475,1.1505475,1.1505442
162,1.62,1.1310408,1.4396452,1.1310408
163,1.63,1.116269,1.116269,1.1162646
164,1.64,1.1065395,1.1065395,1.1065354
165,1.65,1.1021494,1.4093027,1.1021494
166,1.66,1.1033815,1.1033815,1.1033766
167,1.67,1.1104655,1.1104655,1.1104609
168,1.68,1.1236175,1.406271,1.1236175
169,1.69,1.1430386,1.1430386,1.1430333
170,1.7,1.16887,1.16887,1.1688647
171,1.71,1.2012377,1.4062716,1.2012377
172,1.72,1.2402523,1.2402523,1.2402467
173,1.73,1.2859597,1.2859597,1.2859542
174,1.74,1.3383902,1.4211454,1.3383902
175,1.75,1.3975579,1.3975579,1.3975524
176,1.76,1.4634105,1.4634105,1.463405
177,1.77,1.5358801,1.4750226,1.5358801
178,1.78,1.6148818,1.6148818,1.6148764
179,1.79,1.7002659,1.7002659,1.7002606
180,1.8,1.791867,1.5776948,1.791867
181,1.81,1.8895037,1.8895037,1.8894987
182,1.82,1.9929327,1.9929327,1.9929274
183,1.83,2.101895,1.7369913,2.101895
184,1.84,2.2161183,2.2161183,2.216114
185,1.85,2.3352733,2.3352733,2.3352687
186,1.86,2.4590158,1.983955,2.4590158
187,1.87,2.5869906,2.5869906,2.586987
188,1.88,2.7187932,2.7187932,2.7187893
189,1.89,2.8540058,2.3499825,2.8540058
190,1.9,2.9922018,2.9922018,2.9921994
191,1.91,3.132915,3.132915,3.132912
192,1.92,3.2756684,2.757176,3.2756684
193,1.93,3.4199781,3.4199781,3.4199767
194,1.94,3.5653322,3.5653322,3.56533
195,1.95,3.7112103,3.1821334,3.7112103
196,1.96,3.8570888,3.8570888,3.8570879
197,1.97,4.0024266,4.0024266,4.002425
198,1.98,4.146679,3.5941212,4.146679
199,1.99,4.2892995,4.2892995,4.2893
200,2.0,4.429739,4.429739,4.429739
201,2.01,4.5674458,3.9800708,4.5674458
202,2.02,4.701871,4.701871,4.7018723
