,time,spline,prediction,target
0,0.0,-2.0605739e-17,-2.0605739e-17,-2.0605739e-17
1,0.01,0.06242932,0.06242932,0.06242045
2,0.02,0.12385942,0.12385942,0.1238534
3,0.03,0.1840534,0.1840534,0.1840534
4,0.04,0.24277438,0.24277438,0.24277787
5,0.05,0.2997855,0.2997855,0.299788
6,0.06,0.35484982,0.43410262,0.35484982
7,0.07,0.40773436,0.40773436,0.4077351
8,0.08,0.45822132,0.45822132,0.45822212
9,0.09,0.50609684,0.6018508,0.50609684
10,0.1,0.55115145,0.55115145,0.5511534
11,0.11,0.5931936,0.5931936,0.59319544
12,0.12,0.6320363,0.7406155,0.6320363
13,0.13,0.6674983,0.6674983,0.66750044
14,0.14,0.6994215,0.6994215,0.69942355
15,0.15,0.7276536,0.8424845,0.7276536
16,0.16,0.75204897,0.75204897,0.7520514
17,0.17,0.7724889,0.7724889,0.7724913
18,0.18,0.7888613,0.91156787,0.7888613
19,0.19,0.80106145,0.80106145,0.801064
20,0.2,0.80901444,0.80901444,0.80901694
21,0.21,0.8126528,0.9481546,0.8126528
22,0.22,0.811917,0.811917,0.81191975
23,0.23,0.8067791,0.8067791,0.8067817
24,0.24,0.79721886,0.9584389,0.79721886
25,0.25,0.78322446,0.78322446,0.78322726
26,0.26,0.76481646,0.76481646,0.7648192
27,0.27,0.7420233,0.9553382,0.7420233
28,0.28,0.71488154,0.71488154,0.7148842
29,0.29,0.68345994,0.68345994,0.6834626
30,0.3,0.64783525,0.93478477,0.64783525
31,0.31,0.6080918,0.6080918,0.6080942
32,0.32,0.56434464,0.56434464,0.56434715
33,0.33,0.51671654,0.8814101,0.51671654
34,0.34,0.4653374,0.4653374,0.46533957
35,0.35,0.41036505,0.41036505,0.4103673
36,0.36,0.3519646,0.79062825,0.3519646
37,0.37,0.2903073,0.2903073,0.29030916
38,0.38,0.22558911,0.22558911,0.2255911
39,0.39,0.1580122,0.6589612,0.1580122
40,0.4,0.087783806,0.087783806,0.08778525
41,0.41,0.015131659,0.015131659,0.015133243
42,0.42,-0.059711453,0.48353893,-0.059711453
43,0.43,-0.13650887,-0.13650887,-0.13650787
44,0.44,-0.21500853,-0.21500853,-0.21500736
45,0.45,-0.2949545,0.27739227,-0.2949545
46,0.46,-0.37608844,-0.37608844,-0.37608796
47,0.47,-0.45814213,-0.45814213,-0.45814145
48,0.48,-0.54084486,0.061075274,-0.54084486
49,0.49,-0.62392503,-0.62392503,-0.62392503
50,0.5,-0.7071069,-0.7071069,-0.70710677
51,0.51,-0.79011405,-0.1710144,-0.79011405
52,0.52,-0.87267035,-0.87267035,-0.8726709
53,0.53,-0.9545018,-0.9545018,-0.9545021
54,0.54,-1.035335,-0.394705,-1.035335
55,0.55,-1.1148984,-1.1148984,-1.1148995
56,0.56,-1.192929,-1.192929,-1.1929299
57,0.57,-1.2691652,-0.6216775,-1.2691652
58,0.58,-1.3433491,-1.3433491,-1.3433505
59,0.59,-1.4152368,-1.4152368,-1.4152381
60,0.6,-1.4845876,-0.8520774,-1.4845876
61,0.61,-1.5511652,-1.5511652,-1.5511671
62,0.62,-1.6147534,-1.6147534,-1.6147552
63,0.63,-1.6751393,-1.0791382,-1.6751393
64,0.64,-1.732117,-1.732117,-1.7321193
65,0.65,-1.785504,-1.785504,-1.7855061
