epoch,,,,,,epoch,,,,,,epoch,,,,,,,,,,,,,
,baseline,S^2 case 5,S^2 all,S^2 case 0,,,baseline,S^2 case,S^2 all,S^2 case 0,,,baseline,S^2 case,S^2 all,S^2 case 0,S^2 probe 1,S^2 probe all,,,,,,,
case1,27,13,7,39,,all cases,34,1,1,49,,probe1,35,36,22,36,36,23,,,,,,,
case2,46,10,6,39,,,,,,,,probe2,37,38,27,36,43,35,,,,,,,
case3,49,11,7,42,,time taken,,,,,,probe3,24,47,19,25,43,35,,,,,,,
case4,34,41,5,43,,,baseline,S^2 case,S^2 all,S^2 case 0,,probe4,36,27,27,35,27,34,,,,,,,
case5,40,39,9,39,,all cases,1161.78,34.17,34.17,1674.33,,probe5,24,38,36,36,43,35,,,,,,,
case6,47,40,0,41,,,,,,,,probe6,36,31,36,36,36,24,,,,,,,
,,,,,,loss,,,,,,probe7,21,37,18,23,34,36,,,,,,,
time in seconds,,,,,,,baseline,S^2 case,S^2 all,S^2 case 0,,probe8,24,23,23,37,43,36,,,,,,,
,baseline,S^2 case,S^2 all,S^2 case 0,,all cases,0.91,0.74,0.72,0.97,,probe9,31,32,33,28,27,24,,,,,,,
case1,99.09,47.71,25.69,143.13,,,,,,,,,,,,,,,,,,,,,
case2,168.82,36.7,22.02,143.13,,,,,,,,time,,,,,,,,,,,,,
case3,179.83,40.37,25.69,154.14,,,,,,,,,baseline,S^2 case,S^2 all,S^2 case 0,S^2 probe 0,S^2 probe all,,,,,,,
case4,124.78,150.47,18.35,157.81,,,,,,,,probe1,205.424,1848.816,1129.832,1848.816,1848.816,1181.188,,,,,,,
case5,146.8,143.13,33.03,143.13,,,,,,,,probe2,1027.12,1951.528,1386.612,1848.816,2208.308,1797.46,,,,,,,
case6,172.49,146.8,0,150.47,,,,,,,,probe3,564.916,2413.732,975.764,1283.9,2208.308,1797.46,,,,,,,
,,,,,,,,,,,,probe4,359.492,1386.612,1386.612,1797.46,1386.612,1746.104,,,,,,,
loss,,,,,,r2 loss,,,,,,probe5,2156.952,1951.528,1848.816,1848.816,2208.308,1797.46,,,,,,,
,baseline,S^2 case,S^2 all,S^2 case 0,,,,,,,,probe6,2105.596,1592.036,1848.816,1848.816,1848.816,1232.544,,,,,,,
case1,0.95,0.79,0.76,0.68,,0.08,0.36,0.41,0.53,,,probe7,1848.816,1900.172,924.408,1181.188,1746.104,1848.816,,,,,,,
