,time,baseline,S^ case,S^ case 0,S^ all,S^2 probe 1,S^2 probe all,target,target
0,0.00112345,-283.084,-283.084,-283.084,-283.084,-283.084,-283.084,-283.084,-283.084
1,0.00112347,-283.42615,-283.42615,-283.42615,-283.42615,-283.42615,-283.42615,-283.47757,-283.47757
2,0.00112349,-283.66214,-283.66214,-283.66214,-283.66214,-283.66214,-283.66214,-283.7088,-283.7088
3,0.00112351,-283.7769,-283.7769,-283.7769,-283.7769,-283.7769,-283.7769,-283.7769,-283.7769
4,0.00112354,-283.68832,-283.68832,-283.68832,-283.68832,-283.68832,-283.68832,-283.6824,-283.6824
5,0.00112356,-283.43335,-283.43335,-283.43335,-283.43335,-283.43335,-283.43335,-283.42462,-283.42462
6,0.00112358,-294.88406,-294.42502,-301.11185,-298.04016,-290.10168,-300.7405,-283.00394,-283.00394
7,0.0011236,-282.39392,-282.39392,-282.39392,-282.39392,-282.39392,-282.39392,-282.41803,-282.41803
8,0.00112362,-281.63342,-281.63342,-281.63342,-281.63342,-281.63342,-281.63342,-281.67117,-281.67117
9,0.00112364,-280.76154,-280.76154,-280.76154,-280.76154,-280.76154,-280.76154,-280.76154,-280.76154
10,0.00112367,-279.3126,-279.3126,-279.3126,-279.3126,-279.3126,-279.3126,-279.69998,-279.69998
11,0.00112369,-278.2688,-278.2688,-278.2688,-278.2688,-278.2688,-278.2688,-278.4988,-278.4988
12,0.00112371,-290.97787,-290.64706,-295.7693,-292.75864,-286.38397,-295.23532,-277.17142,-277.17142
13,0.00112373,-276.01718,-276.01718,-276.01718,-276.01718,-276.01718,-276.01718,-275.73,-275.73
14,0.00112375,-274.7594,-274.7594,-274.7594,-274.7594,-274.7594,-274.7594,-274.18753,-274.18753
15,0.00112378,-272.55304,-272.55304,-272.55304,-272.55304,-272.55304,-272.55304,-272.55304,-272.55304
16,0.0011238,-270.81656,-270.81656,-270.81656,-270.81656,-270.81656,-270.81656,-270.83133,-270.83133
17,0.00112382,-268.96387,-268.96387,-268.96387,-268.96387,-268.96387,-268.96387,-269.023,-269.023
18,0.00112384,-282.54636,-282.49686,-285.53882,-282.33746,-277.66415,-284.913,-267.1258,-267.1258
19,0.00112386,-265.39075,-265.39075,-265.39075,-265.39075,-265.39075,-265.39075,-265.13602,-265.13602
20,0.00112388,-263.6772,-263.6772,-263.6772,-263.6772,-263.6772,-263.6772,-263.053,-263.053
21,0.00112391,-260.876,-260.876,-260.876,-260.876,-260.876,-260.876,-260.876,-260.876
22,0.00112393,-258.70563,-258.70563,-258.70563,-258.70563,-258.70563,-258.70563,-258.6033,-258.6033
23,0.00112395,-256.314,-256.314,-256.314,-256.314,-256.314,-256.314,-256.23367,-256.23367
24,0.00112397,-270.8034,-270.86133,-271.99564,-268.54846,-265.8429,-271.38287,-253.76836,-253.76836
25,0.00112399,-251.13507,-251.13507,-251.13507,-251.13507,-251.13507,-251.13507,-251.21536,-251.21536
26,0.00112401,-248.47714,-248.47714,-248.47714,-248.47714,-248.47714,-248.47714,-248.5767,-248.5767
27,0.00112403,-245.85674,-245.85674,-245.85674,-245.85674,-245.85674,-245.85674,-245.85674,-245.85674
28,0.00112406,-242.07875,-242.07875,-242.07875,-242.07875,-242.07875,-242.07875,-243.05449,-243.05449
29,0.00112408,-239.62949,-239.62949,-239.62949,-239.62949,-239.62949,-239.62949,-240.16704,-240.16704
30,0.0011241,-255.24202,-255.0246,-254.47617,-251.96696,-249.87251,-254.60172,-237.19707,-237.19707
31,0.00112412,-234.73729,-234.73729,-234.73729,-234.73729,-234.73729,-234.73729,-234.15215,-234.15215
32,0.00112414,-232.16167,-232.16167,-232.16167,-232.16167,-232.16167,-232.16167,-231.03885,-231.03885
33,0.00112417,-227.86307,-227.86307,-227.86307,-227.86307,-227.86307,-227.86307,-227.86307,-227.86307
34,0.00112419,-224.62122,-224.62122,-224.62122,-224.62122,-224.62122,-224.62122,-224.63089,-224.63089
35,0.00112421,-221.27025,-221.27025,-221.27025,-221.27025,-221.27025,-221.27025,-221.35965,-221.35965
36,0.00112423,-236.75066,-236.4765,-234.8817,-233.75826,-231.46129,-236.06322,-218.06595,-218.06595
37,0.00112425,-215.18245,-215.18245,-215.18245,-215.18245,-215.18245,-215.18245,-214.76907,-214.76907
38,0.00112427,-212.4672,-212.4672,-212.4672,-212.4672,-212.4672,-212.4672,-211.47954,-211.47954
39,0.0011243,-208.19731,-208.19731,-208.19731,-208.19731,-208.19731,-208.19731,-208.19731,-208.19731
40,0.00112432,-204.96323,-204.96323,-204.96323,-204.96323,-204.96323,-204.96323,-204.91777,-204.91777
