,time,baseline,S^2 case,S^2 case 0,S^2 all,S^2 probe 1,S^2 probe all,target,target
0,0.00112345,-19.664066,-19.664066,-19.664066,-19.664066,-19.664066,-19.664066,-19.664066,-19.664066
1,0.00112347,-19.567636,-19.567636,-19.567636,-19.567636,-19.567636,-19.567636,-19.619144,-19.619144
2,0.00112349,-19.452108,-19.452108,-19.452108,-19.452108,-19.452108,-19.452108,-19.49976,-19.49976
3,0.00112351,-19.296879,-19.296879,-19.296879,-19.296879,-19.296879,-19.296879,-19.296879,-19.296879
4,0.00112354,-18.944542,-18.944542,-18.944542,-18.944542,-18.944542,-18.944542,-19.004887,-19.004887
5,0.00112356,-18.599947,-18.599947,-18.599947,-18.599947,-18.599947,-18.599947,-18.620121,-18.620121
6,0.00112358,-23.380589,-19.241484,-19.682144,-23.903023,-22.238731,-21.13308,-18.143559,-18.143559
7,0.0011236,-17.56516,-17.56516,-17.56516,-17.56516,-17.56516,-17.56516,-17.576664,-17.576664
8,0.00112362,-16.896069,-16.896069,-16.896069,-16.896069,-16.896069,-16.896069,-16.918217,-16.918217
9,0.00112364,-16.177982,-16.177982,-16.177982,-16.177982,-16.177982,-16.177982,-16.177982,-16.177982
10,0.00112367,-15.074994,-15.074994,-15.074994,-15.074994,-15.074994,-15.074994,-15.365726,-15.365726
11,0.00112369,-14.325334,-14.325334,-14.325334,-14.325334,-14.325334,-14.325334,-14.491216,-14.491216
12,0.00112371,-20.412144,-16.440374,-17.049616,-20.22642,-19.388664,-18.206984,-13.560551,-13.560551
13,0.00112373,-12.771677,-12.771677,-12.771677,-12.771677,-12.771677,-12.771677,-12.578861,-12.578861
14,0.00112375,-11.926395,-11.926395,-11.926395,-11.926395,-11.926395,-11.926395,-11.547368,-11.547368
15,0.00112378,-10.469243,-10.469243,-10.469243,-10.469243,-10.469243,-10.469243,-10.469243,-10.469243
16,0.0011238,-9.336485,-9.336485,-9.336485,-9.336485,-9.336485,-9.336485,-9.34351,-9.34351
17,0.00112382,-8.136623,-8.136623,-8.136623,-8.136623,-8.136623,-8.136623,-8.170414,-8.170414
18,0.00112384,-14.72526,-11.168222,-11.972897,-14.301831,-13.868102,-12.752548,-6.9543505,-6.9543505
19,0.00112386,-5.8470974,-5.8470974,-5.8470974,-5.8470974,-5.8470974,-5.8470974,-5.6877484,-5.6877484
20,0.00112388,-4.7632456,-4.7632456,-4.7632456,-4.7632456,-4.7632456,-4.7632456,-4.372563,-4.372563
21,0.00112391,-3.0087936,-3.0087936,-3.0087936,-3.0087936,-3.0087936,-3.0087936,-3.0087936,-3.0087936
22,0.00112393,-1.6570514,-1.6570514,-1.6570514,-1.6570514,-1.6570514,-1.6570514,-1.586186,-1.586186
23,0.00112395,-0.16488692,-0.16488692,-0.16488692,-0.16488692,-0.16488692,-0.16488692,-0.10669389,-0.10669389
24,0.00112397,-7.103952,-3.5537546,-5.2909307,-6.63972,-6.5146937,-5.3413835,1.4343216,1.4343216
25,0.00112399,3.1084023,3.1084023,3.1084023,3.1084023,3.1084023,3.1084023,3.0498002,3.0498002
26,0.00112401,4.830007,4.830007,4.830007,4.830007,4.830007,4.830007,4.75732,4.75732
27,0.00112403,6.5729933,6.5729933,6.5729933,6.5729933,6.5729933,6.5729933,6.5729933,6.5729933
28,0.00112406,9.193764,9.193764,9.193764,9.193764,9.193764,9.193764,8.508784,8.508784
29,0.00112408,10.96071,10.96071,10.96071,10.96071,10.96071,10.96071,10.571284,10.571284
30,0.0011241,3.1081417,6.6260014,3.684383,3.9873095,3.095742,5.0705204,12.761471,12.761471
31,0.00112412,14.622568,14.622568,14.622568,14.622568,14.622568,14.622568,15.074946,15.074946
32,0.00112414,16.614897,16.614897,16.614897,16.614897,16.614897,16.614897,17.498775,17.498775
33,0.00112417,20.028805,20.028805,20.028805,20.028805,20.028805,20.028805,20.028805,20.028805
34,0.00112419,22.659073,22.659073,22.659073,22.659073,22.659073,22.659073,22.648922,22.648922
35,0.00112421,25.414486,25.414486,25.414486,25.414486,25.414486,25.414486,25.338863,25.338863
36,0.00112423,16.446894,19.910553,15.956112,17.699354,16.04313,18.781609,28.083979,28.083979
37,0.00112425,30.521679,30.521679,30.521679,30.521679,30.521679,30.521679,30.870356,30.870356
38,0.00112427,32.842457,32.842457,32.842457,32.842457,32.842457,32.842457,33.683342,33.683342
39,0.0011243,36.498287,36.498287,36.498287,36.498287,36.498287,36.498287,36.498287,36.498287
40,0.00112432,39.24359,39.24359,39.24359,39.24359,39.24359,39.24359,39.29565,39.29565
41,0.00112434,42.07652,42.07652,42.07652,42.07652,42.07652,42.07652,42.054684,42.054684
42,0.00112436,32.884052,36.06827,29.476591,34.149956,32.313946,35.46043,44.75146,44.75146
43,0.00112438,47.091476,47.091476,47.091476,47.091476,47.091476,47.091476,47.365227,47.365227
